percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.9366907391
95,B1,corning-2-user,1
95,B1,corning-3-user,1
95,B1,corning-4-user,0.8723868318
95,B1,corning-5-user,1
95,B1,corning-6-user,0.970377569
95,B1,corning-7-user,0.9961312704
95,B1,corning-8-user,0.9658573497
95,B2,corning-1-user,0.9366907645
95,B2,corning-2-user,0.9999743351
95,B2,corning-3-user,1
95,B2,corning-4-user,0.8575918923
95,B2,corning-5-user,1
95,B2,corning-6-user,0.9703775624
95,B2,corning-7-user,0.9414924913
95,B2,corning-8-user,0.9658282423
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9143498371
95,B5,corning-2-user,0.9143498371
95,B5,corning-3-user,0.9143498371
95,B5,corning-4-user,0.9143498371
95,B5,corning-5-user,0.9143498371
95,B5,corning-6-user,0.9143498371
95,B5,corning-7-user,0.9143498371
95,B5,corning-8-user,0.9143498371
90,B1,corning-1-user,0.8794091147
90,B1,corning-2-user,0.9822546617
90,B1,corning-3-user,1
90,B1,corning-4-user,0.7317126713
90,B1,corning-5-user,0.8737765516
90,B1,corning-6-user,1
90,B1,corning-7-user,0.9922625409
90,B1,corning-8-user,0.9332197972
90,B2,corning-1-user,0.8628798613
90,B2,corning-2-user,0.9108260538
90,B2,corning-3-user,0.9967120287
90,B2,corning-4-user,0.7317126759
90,B2,corning-5-user,0.8758566078
90,B2,corning-6-user,1
90,B2,corning-7-user,0.9922624815
90,B2,corning-8-user,0.955042051
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540393255
90,B5,corning-1-user,0.8775932807
90,B5,corning-2-user,0.8775932804
90,B5,corning-3-user,0.8775932902
90,B5,corning-4-user,0.8775932863
90,B5,corning-5-user,0.8775932719
90,B5,corning-6-user,0.8775932733
90,B5,corning-7-user,0.8775932871
90,B5,corning-8-user,0.8775932852
85,B1,corning-1-user,0.8074290302
85,B1,corning-2-user,0.9307562266
85,B1,corning-3-user,1
85,B1,corning-4-user,0.8009582233
85,B1,corning-5-user,0.8723868216
85,B1,corning-6-user,0.8643402156
85,B1,corning-7-user,0.9883938113
85,B1,corning-8-user,0.957115319
85,B2,corning-1-user,0.8247442731
85,B2,corning-2-user,0.8248818418
85,B2,corning-3-user,1
85,B2,corning-4-user,0.6602942902
85,B2,corning-5-user,0.8908330336
85,B2,corning-6-user,0.8867799415
85,B2,corning-7-user,0.9883937222
85,B2,corning-8-user,0.9792714605
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310642708
85,B5,corning-1-user,0.8820677954
85,B5,corning-2-user,0.8820678044
85,B5,corning-3-user,0.8820677933
85,B5,corning-4-user,0.8820678014
85,B5,corning-5-user,0.8820677941
85,B5,corning-6-user,0.8820677962
85,B5,corning-7-user,0.8820678035
85,B5,corning-8-user,0.8820677999
80,B1,corning-1-user,0.6411924497
80,B1,corning-2-user,0.9504910727
80,B1,corning-3-user,1
80,B1,corning-4-user,0.8000029228
80,B1,corning-5-user,1
80,B1,corning-6-user,0.8991440741
80,B1,corning-7-user,0.9845250818
80,B1,corning-8-user,0.9335781873
80,B2,corning-1-user,0.6795303759
80,B2,corning-2-user,0.9180620292
80,B2,corning-3-user,0.9285713915
80,B2,corning-4-user,0.6709301844
80,B2,corning-5-user,0.9285714284
80,B2,corning-6-user,0.8777847243
80,B2,corning-7-user,0.984524963
80,B2,corning-8-user,0.956665874
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.9080844336
80,B5,corning-1-user,0.8612810149
80,B5,corning-2-user,0.8612810136
80,B5,corning-3-user,0.8612810006
80,B5,corning-4-user,0.8612810121
80,B5,corning-5-user,0.8612810148
80,B5,corning-6-user,0.8612809987
80,B5,corning-7-user,0.8612810091
80,B5,corning-8-user,0.8612810153
75,B1,corning-1-user,0.6241590129
75,B1,corning-2-user,0.8797383034
75,B1,corning-3-user,0.9676482566
75,B1,corning-4-user,0.796959805
75,B1,corning-5-user,0.874137439
75,B1,corning-6-user,0.8680277766
75,B1,corning-7-user,0.9806563522
75,B1,corning-8-user,0.953797442
75,B2,corning-1-user,0.6735368575
75,B2,corning-2-user,0.8167727313
75,B2,corning-3-user,0.8816810401
75,B2,corning-4-user,0.7264120605
75,B2,corning-5-user,0.762530876
75,B2,corning-6-user,0.8552165469
75,B2,corning-7-user,0.9806562037
75,B2,corning-8-user,0.9768851144
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5318922039
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8851045963
75,B5,corning-1-user,0.8557103953
75,B5,corning-2-user,0.8557103951
75,B5,corning-3-user,0.8557103951
75,B5,corning-4-user,0.8557103949
75,B5,corning-5-user,0.8557103946
75,B5,corning-6-user,0.8557103948
75,B5,corning-7-user,0.8557103945
75,B5,corning-8-user,0.8557103955
70,B1,corning-1-user,0.6130843569
70,B1,corning-2-user,0.8285724532
70,B1,corning-3-user,0.9171232071
70,B1,corning-4-user,0.7965719632
70,B1,corning-5-user,0.8571428706
70,B1,corning-6-user,0.8683883834
70,B1,corning-7-user,0.9767876227
70,B1,corning-8-user,0.9548557575
70,B2,corning-1-user,0.5997645722
70,B2,corning-2-user,0.7880965746
70,B2,corning-3-user,0.8430950661
70,B2,corning-4-user,0.7257409889
70,B2,corning-5-user,0.745389541
70,B2,corning-6-user,0.8883547772
70,B2,corning-7-user,0.9676773999
70,B2,corning-8-user,0.9791883524
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.5279888268
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.8946786558
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.862124759
70,B5,corning-1-user,0.8548286973
70,B5,corning-2-user,0.8548286973
70,B5,corning-3-user,0.8548286973
70,B5,corning-4-user,0.8548286973
70,B5,corning-5-user,0.8548286973
70,B5,corning-6-user,0.8548286973
70,B5,corning-7-user,0.8548286973
70,B5,corning-8-user,0.8548286973
65,B1,corning-1-user,0.700701601
65,B1,corning-2-user,0.7317126713
65,B1,corning-3-user,0.8381621705
65,B1,corning-4-user,0.7965719632
65,B1,corning-5-user,0.9285714421
65,B1,corning-6-user,0.8537573865
65,B1,corning-7-user,1
65,B1,corning-8-user,0.9354553713
65,B2,corning-1-user,0.687950126
65,B2,corning-2-user,0.6864226939
65,B2,corning-3-user,0.8146623413
65,B2,corning-4-user,0.7257409889
65,B2,corning-5-user,0.8571428177
65,B2,corning-6-user,0.889471346
65,B2,corning-7-user,0.846003414
65,B2,corning-8-user,1
65,B3,corning-1-user,1
65,B3,corning-2-user,0.9154304426
65,B3,corning-3-user,0.5287792708
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.8500320448
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391401392
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391449218
65,B5,corning-1-user,0.8391292383
65,B5,corning-2-user,0.8391292352
65,B5,corning-3-user,0.8391292451
65,B5,corning-4-user,0.8391292446
65,B5,corning-5-user,0.8391292397
65,B5,corning-6-user,0.8391292388
65,B5,corning-7-user,0.839129234
65,B5,corning-8-user,0.8391292382
60,B1,corning-1-user,0.5997857788
60,B1,corning-2-user,0.7081014734
60,B1,corning-3-user,0.8322620598
60,B1,corning-4-user,0.7969086957
60,B1,corning-5-user,0.8694098706
60,B1,corning-6-user,0.8793198131
60,B1,corning-7-user,0.9690501636
60,B1,corning-8-user,0.9379033277
60,B2,corning-1-user,0.6056190091
60,B2,corning-2-user,0.6666948148
60,B2,corning-3-user,0.7892038389
60,B2,corning-4-user,0.6743453506
60,B2,corning-5-user,0.7278563293
60,B2,corning-6-user,0.9150340811
60,B2,corning-7-user,0.9259991555
60,B2,corning-8-user,1
60,B3,corning-1-user,1
60,B3,corning-2-user,0.7864950077
60,B3,corning-3-user,0.5287792708
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.8410344678
60,B4,corning-1-user,0.8161603019
60,B4,corning-2-user,0.8161603019
60,B4,corning-3-user,0.8161603019
60,B4,corning-4-user,0.8161603019
60,B4,corning-5-user,0.8161603019
60,B4,corning-6-user,0.8161603019
60,B4,corning-7-user,0.8161603019
60,B4,corning-8-user,0.8161650845
60,B5,corning-1-user,0.8161531367
60,B5,corning-2-user,0.8161531318
60,B5,corning-3-user,0.8161531322
60,B5,corning-4-user,0.816153133
60,B5,corning-5-user,0.8161531342
60,B5,corning-6-user,0.8161531333
60,B5,corning-7-user,0.8161531335
60,B5,corning-8-user,0.8161531315
55,B1,corning-1-user,0.6002056583
55,B1,corning-2-user,0.658101461
55,B1,corning-3-user,0.780092033
55,B1,corning-4-user,0.7969086957
55,B1,corning-5-user,0.8709551714
55,B1,corning-6-user,0.9285713915
55,B1,corning-7-user,0.8959245822
55,B1,corning-8-user,0.9489500514
55,B2,corning-1-user,0.6109110837
55,B2,corning-2-user,0.6185386317
55,B2,corning-3-user,0.7330715639
55,B2,corning-4-user,0.6743453506
55,B2,corning-5-user,0.728668284
55,B2,corning-6-user,0.9642856705
55,B2,corning-7-user,0.9023770912
55,B2,corning-8-user,0.9936659528
55,B3,corning-1-user,0.9096491299
55,B3,corning-2-user,0.7423796659
55,B3,corning-3-user,0.5287877931
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.8324270218
55,B4,corning-1-user,0.7824972955
55,B4,corning-2-user,0.7824972955
55,B4,corning-3-user,0.7824972955
55,B4,corning-4-user,0.7824972955
55,B4,corning-5-user,0.7824972955
55,B4,corning-6-user,0.7824972955
55,B4,corning-7-user,0.7824972955
55,B4,corning-8-user,0.8335954959
55,B5,corning-1-user,0.7840502301
55,B5,corning-2-user,0.7834169686
55,B5,corning-3-user,0.7796732822
55,B5,corning-4-user,0.7958810254
55,B5,corning-5-user,0.7960169321
55,B5,corning-6-user,0.8009275495
55,B5,corning-7-user,0.8043421979
55,B5,corning-8-user,0.8142520188
50,B1,corning-1-user,0.5994098721
50,B1,corning-2-user,0.5994098721
50,B1,corning-3-user,0.6838733225
50,B1,corning-4-user,0.6995054041
