percent,fulfilled,short,worst_user,worst_ratio,impossible,binding,digest
100,1,0,corning-2-user,1,,,4cbe25078128b4114d1444e121d9c6d2de9210c078ba6a137e617cfc99224c21
95,0,8,corning-1-user,0.9770201627,,C8 source availability,4d0790e3331859002f3b8ac52c58e760e7bb6d8e718e5427ced89ce2ab1022e1
90,0,8,corning-2-user,0.9540403255,,C8 source availability,88828c68e8d8d139709bec301d42a38c02bdbdc97e63bd72e2c0a847ec38754e
85,0,8,corning-4-user,0.9310604882,,C8 source availability,7258a1e82401f59e72aad36e81365d72649e1cbb9b5ab78b9d95a7b7220e410a
80,0,8,corning-5-user,0.908080651,,C8 source availability,a6b66ddbb9aa98d5df70f08babe642e1e339c14ab434f1f6df9c52e2620ce346
75,0,8,corning-6-user,0.8851008137,,C8 source availability,9658f82532fc930de6e956b9ebd8f85582e078e7490cda66414205c7dee3d922
70,0,8,corning-8-user,0.8621209764,,C8 source availability,c7c4879bc1d23cca5865ab9efd9b0d3869dbd3d5e7b4b20866c02379b61b8691
65,0,8,corning-5-user,0.8391411392,,C8 source availability,99ad1d8b4ebdc3ce38b64e772553ca469903c25cc34fe8994d417bd60555d5a4
60,0,8,corning-2-user,0.8161613019,,C8 source availability,603304e24277563e2efc75c639c6cba33b11afba113b9a75418bb4e38a5f5339
55,0,8,corning-1-user,0.7824982955,corning-1-user corning-2-user corning-3-user,C8 source availability,2067282ff1d803ba7a1acc3488aae7323ec032177e3c36ce32ff9d7633d6da20
50,0,8,corning-3-user,0.6915486274,corning-1-user corning-2-user corning-3-user,C8 source availability,1ea34e890ded1712f6b3dd30c78c4046408e4dfc5c5e368c99553bf03116d36c
45,0,8,,,,C8 source availability,8633451e94db4a49afb299c1f289ec1cb64ae7889b46613aa663c59be4b53613
40,0,8,,,,C8 source availability,14501bd40cacfea6095bde58905955a97e86f0d04cd2c4468fb423065326c9a1
35,0,8,,,,C8 source availability,67a7a20d1f307dd256cdbc8729e501ba918320b77af1c29fd9237ab323d8155a
30,0,8,,,,C2 delivered flow non-negative C8 source availability,3a69118b8e17db442183c66c381db45c9bb8a60e4b839d1dd0f4e44933853b87
