percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,1
95,B1,corning-2-user,0.9723530886
95,B1,corning-3-user,0.9683853788
95,B1,corning-4-user,0.9285714421
95,B1,corning-5-user,1
95,B1,corning-6-user,0.937259716
95,B1,corning-7-user,0.9840627035
95,B1,corning-8-user,0.9883005471
95,B2,corning-1-user,0.9587711135
95,B2,corning-2-user,0.9794928189
95,B2,corning-3-user,0.9683853867
95,B2,corning-4-user,0.9285714262
95,B2,corning-5-user,0.9285713915
95,B2,corning-6-user,0.943690438
95,B2,corning-7-user,0.9840627
95,B2,corning-8-user,0.9949375944
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9411707596
95,B5,corning-2-user,0.9411707583
95,B5,corning-3-user,0.9411707556
95,B5,corning-4-user,0.9411707652
95,B5,corning-5-user,0.9411707685
95,B5,corning-6-user,0.9411707551
95,B5,corning-7-user,0.9411707496
95,B5,corning-8-user,0.9411707534
90,B1,corning-1-user,0.9809476988
90,B1,corning-2-user,0.8836886064
90,B1,corning-3-user,0.9631374514
90,B1,corning-4-user,0.8571428704
90,B1,corning-5-user,0.866070276
90,B1,corning-6-user,0.9651728281
90,B1,corning-7-user,0.9443555859
90,B1,corning-8-user,1
90,B2,corning-1-user,0.980947689
90,B2,corning-2-user,0.8836886584
90,B2,corning-3-user,0.9202887348
90,B2,corning-4-user,0.8571428177
90,B2,corning-5-user,0.9183111376
90,B2,corning-6-user,0.9651727554
90,B2,corning-7-user,1
90,B2,corning-8-user,1
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540393255
90,B5,corning-1-user,0.9003766452
90,B5,corning-2-user,0.9003766454
90,B5,corning-3-user,0.9003766452
90,B5,corning-4-user,0.9003766451
90,B5,corning-5-user,0.9003766451
90,B5,corning-6-user,0.9003766448
90,B5,corning-7-user,0.9003766454
90,B5,corning-8-user,0.9003766452
85,B1,corning-1-user,0.8734651113
85,B1,corning-2-user,0.9071515925
85,B1,corning-3-user,0.9285713915
85,B1,corning-4-user,0.9285714421
85,B1,corning-5-user,0.9285714421
85,B1,corning-6-user,0.9383827969
85,B1,corning-7-user,0.9181392491
85,B1,corning-8-user,1
85,B2,corning-1-user,0.8612933081
85,B2,corning-2-user,0.9046154793
85,B2,corning-3-user,0.9285714421
85,B2,corning-4-user,0.8571428177
85,B2,corning-5-user,0.9285714262
85,B2,corning-6-user,0.8694140934
85,B2,corning-7-user,0.9289256965
85,B2,corning-8-user,1
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310594882
85,B5,corning-1-user,0.9049459878
85,B5,corning-2-user,0.9049459868
85,B5,corning-3-user,0.9049459865
85,B5,corning-4-user,0.904946049
85,B5,corning-5-user,0.904945925
85,B5,corning-6-user,0.9049459871
85,B5,corning-7-user,0.9049459867
85,B5,corning-8-user,0.9049459866
80,B1,corning-1-user,0.8422032955
80,B1,corning-2-user,0.8999940401
80,B1,corning-3-user,0.8616633732
80,B1,corning-4-user,0.8571428201
80,B1,corning-5-user,0.9285714262
80,B1,corning-6-user,0.905170293
80,B1,corning-7-user,1
80,B1,corning-8-user,0.9755077446
80,B2,corning-1-user,0.8568201585
80,B2,corning-2-user,0.8999940627
80,B2,corning-3-user,0.8336399473
80,B2,corning-4-user,0.8223089941
80,B2,corning-5-user,0.8571428201
80,B2,corning-6-user,0.8448770304
80,B2,corning-7-user,1
80,B2,corning-8-user,1
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.908079651
80,B5,corning-1-user,0.8805181249
80,B5,corning-2-user,0.8805181325
80,B5,corning-3-user,0.8805181382
80,B5,corning-4-user,0.8805181377
80,B5,corning-5-user,0.8805181357
80,B5,corning-6-user,0.8805181227
80,B5,corning-7-user,0.8805181306
80,B5,corning-8-user,0.8805181235
75,B1,corning-1-user,0.8504022207
75,B1,corning-2-user,0.8131553526
75,B1,corning-3-user,0.8096097528
75,B1,corning-4-user,1
75,B1,corning-5-user,0.7263566288
75,B1,corning-6-user,0.8694098532
75,B1,corning-7-user,1
75,B1,corning-8-user,1
75,B2,corning-1-user,0.8572412596
75,B2,corning-2-user,0.7634280011
75,B2,corning-3-user,0.7532383775
75,B2,corning-4-user,1
75,B2,corning-5-user,0.7263566293
75,B2,corning-6-user,0.8694098706
75,B2,corning-7-user,1
75,B2,corning-8-user,1
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5318922039
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8850998137
75,B5,corning-1-user,0.8616997806
75,B5,corning-2-user,0.8616997768
75,B5,corning-3-user,0.8616997619
75,B5,corning-4-user,0.8616997641
75,B5,corning-5-user,0.8616997622
75,B5,corning-6-user,0.8616997852
75,B5,corning-7-user,0.8616997571
75,B5,corning-8-user,0.8616997605
70,B1,corning-1-user,0.7738461597
70,B1,corning-2-user,0.8009582132
70,B1,corning-3-user,0.8322048945
70,B1,corning-4-user,0.6561841647
70,B1,corning-5-user,0.8737765273
70,B1,corning-6-user,1
70,B1,corning-7-user,0.8690192453
70,B1,corning-8-user,0.9846437484
70,B2,corning-1-user,0.8188384805
70,B2,corning-2-user,0.7631457606
70,B2,corning-3-user,0.7363570033
70,B2,corning-4-user,0.6561836165
70,B2,corning-5-user,0.8737765657
70,B2,corning-6-user,0.9285713915
70,B2,corning-7-user,0.895392386
70,B2,corning-8-user,0.9768849313
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.5192116837
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.9049822585
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.8621199764
70,B5,corning-1-user,0.830086329
70,B5,corning-2-user,0.8300863287
70,B5,corning-3-user,0.8300863279
70,B5,corning-4-user,0.8300863277
70,B5,corning-5-user,0.8300863277
70,B5,corning-6-user,0.8300863284
70,B5,corning-7-user,0.8300863285
70,B5,corning-8-user,0.8300863283
65,B1,corning-1-user,0.7816977118
65,B1,corning-2-user,0.8485065059
65,B1,corning-3-user,0.6603514153
65,B1,corning-4-user,0.9285714262
65,B1,corning-5-user,0.869019254
65,B1,corning-6-user,0.8681400781
65,B1,corning-7-user,0.9537654565
65,B1,corning-8-user,1
65,B2,corning-1-user,0.7407967433
65,B2,corning-2-user,0.7857881467
65,B2,corning-3-user,0.676924431
65,B2,corning-4-user,0.8571428201
65,B2,corning-5-user,0.9558599819
65,B2,corning-6-user,0.8888735685
65,B2,corning-7-user,1
65,B2,corning-8-user,1
65,B3,corning-1-user,1
65,B3,corning-2-user,1
65,B3,corning-3-user,0.5192116837
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.795078689
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391538892
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391401392
65,B5,corning-1-user,0.8314439584
65,B5,corning-2-user,0.8314439601
65,B5,corning-3-user,0.8314439655
65,B5,corning-4-user,0.8314439594
65,B5,corning-5-user,0.8314439578
65,B5,corning-6-user,0.8314439557
65,B5,corning-7-user,0.8314439548
65,B5,corning-8-user,0.8314439595
60,B1,corning-1-user,0.5960839129
60,B1,corning-2-user,0.8415781205
60,B1,corning-3-user,0.7263566293
60,B1,corning-4-user,0.870067818
60,B1,corning-5-user,0.8293558575
60,B1,corning-6-user,0.9285713915
60,B1,corning-7-user,0.8723867864
60,B1,corning-8-user,0.9877458171
60,B2,corning-1-user,0.6552478319
60,B2,corning-2-user,0.8091971753
60,B2,corning-3-user,0.6057548879
60,B2,corning-4-user,0.8012155233
60,B2,corning-5-user,0.806447935
60,B2,corning-6-user,0.8839638896
60,B2,corning-7-user,0.998630104
60,B2,corning-8-user,1
60,B3,corning-1-user,1
60,B3,corning-2-user,1
60,B3,corning-3-user,0.5192116837
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.6851751195
60,B4,corning-1-user,0.8161603019
60,B4,corning-2-user,0.8161603019
60,B4,corning-3-user,0.8161603019
60,B4,corning-4-user,0.8161603019
60,B4,corning-5-user,0.8161603019
60,B4,corning-6-user,0.8161740519
60,B4,corning-7-user,0.8161603019
60,B4,corning-8-user,0.8161603019
60,B5,corning-1-user,0.8148024857
60,B5,corning-2-user,0.8148024889
60,B5,corning-3-user,0.8148024802
60,B5,corning-4-user,0.8148024762
60,B5,corning-5-user,0.8148024798
60,B5,corning-6-user,0.8148024972
60,B5,corning-7-user,0.8148024808
60,B5,corning-8-user,0.8148024801
55,B1,corning-1-user,0.6058516982
55,B1,corning-2-user,0.730225937
55,B1,corning-3-user,0.7406529233
55,B1,corning-4-user,0.7255775289
55,B1,corning-5-user,0.929968723
55,B1,corning-6-user,0.8313322028
55,B1,corning-7-user,0.9285713915
55,B1,corning-8-user,0.9549800594
55,B2,corning-1-user,0.5947614881
55,B2,corning-2-user,0.6962084871
55,B2,corning-3-user,0.684468047
55,B2,corning-4-user,0.6558968778
55,B2,corning-5-user,1
55,B2,corning-6-user,0.8470028602
55,B2,corning-7-user,0.9999829822
55,B2,corning-8-user,0.9782840994
55,B3,corning-1-user,1
55,B3,corning-2-user,0.9953548493
55,B3,corning-3-user,0.519728129
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.5783006234
55,B4,corning-1-user,0.7931804646
55,B4,corning-2-user,0.7931804646
55,B4,corning-3-user,0.7931804646
55,B4,corning-4-user,0.7931804646
55,B4,corning-5-user,0.7931804646
55,B4,corning-6-user,0.7931804646
55,B4,corning-7-user,0.7931804646
55,B4,corning-8-user,0.7931804646
55,B5,corning-1-user,0.7926934407
55,B5,corning-2-user,0.7926934653
55,B5,corning-3-user,0.7926934468
55,B5,corning-4-user,0.7926934559
55,B5,corning-5-user,0.7926934473
55,B5,corning-6-user,0.7926934463
55,B5,corning-7-user,0.7926934548
55,B5,corning-8-user,0.7926934473
50,B1,corning-1-user,0.6644620931
50,B1,corning-2-user,0.5994098721
50,B1,corning-3-user,0.6467617053
50,B1,corning-4-user,0.732114087
50,B1,corning-5-user,0.7987964487
50,B1,corning-6-user,0.9546114102
50,B1,corning-7-user,0.9506806189
