percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.588
100,B2,solved,1,8,0,2,0.598
100,B3,solved,1,8,3.925231147e-17,1,0.872
100,B4,solved,1,8,0,10,8.219
100,B5,solved,1,8,0,1,0.663
95,B1,solved,0.9285714421,7.778932876,0.02520976637,1,0.597
95,B2,solved,0.9285713915,7.686482869,0.02368465998,2,0.634
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.802
95,B4,solved,0.9770191627,7.816153302,2.633125101e-16,10,14.441
95,B5,solved,0.9411707496,7.529366065,5.796584266e-09,8,5.849
90,B1,solved,0.8571428704,7.460515317,0.05187036211,1,0.643
90,B2,solved,0.8571428177,7.525551793,0.05049968889,2,0.638
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,1.238
90,B4,solved,0.9540393255,7.632314604,4.209341455e-16,10,14.488
90,B5,solved,0.9003766448,7.203013161,1.643113543e-10,8,6.154
85,B1,solved,0.8734651113,7.422853025,0.03316353832,1,0.642
85,B2,solved,0.8571428177,7.278534263,0.04470758074,2,0.615
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.966
85,B4,solved,0.9310594882,7.448475906,4.209341455e-16,10,14.047
85,B5,solved,0.904945925,7.239567896,3.098166981e-08,7,5.026
80,B1,solved,0.8422032955,7.270252993,0.05312066026,1,0.673
80,B2,solved,0.8223089941,7.114783013,0.06733459878,2,0.633
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,1.228
80,B4,solved,0.908079651,7.264637208,7.927606571e-15,10,14.047
80,B5,solved,0.8805181227,7.044145046,5.95157429e-09,8,5.871
75,B1,solved,0.7263566288,7.068933808,0.09817892683,1,0.976
75,B2,solved,0.7263566293,6.969674138,0.1098155957,2,0.617
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,1.034
75,B4,solved,0.8850998137,7.08079851,1.942981488e-14,10,13.756
75,B5,solved,0.8616997571,6.893598148,9.938323396e-09,8,5.705
70,B1,solved,0.6561841647,6.790632953,0.1046606267,1,1.703
70,B2,solved,0.6561836165,6.649150135,0.1006533677,2,0.748
70,B3,solved,0.5192116837,7.424193942,0.1576157112,1,0.917
70,B4,solved,0.8621199764,6.896959811,6.911082594e-16,10,14.065
70,B5,solved,0.8300863277,6.640690626,4.452916119e-10,8,6.055
65,B1,solved,0.6603514153,6.910051848,0.09953116726,1,1.169
65,B2,solved,0.676924431,6.905385691,0.113128195,2,0.641
65,B3,solved,0.5192116837,7.314290373,0.1636976776,1,0.802
65,B4,solved,0.8391401392,6.713134863,4.547385064e-06,10,13.427
65,B5,solved,0.8314439548,6.651551671,3.023571688e-09,8,5.848
60,B1,solved,0.5960839129,6.652146333,0.1137853472,1,1.074
60,B2,solved,0.6057548879,6.560457347,0.1332748701,2,0.656
60,B3,solved,0.5192116837,7.204386803,0.1771817801,1,0.987
60,B4,solved,0.8161603019,6.529296165,4.547385067e-06,10,13.603
60,B5,solved,0.8148024762,6.518419869,6.316106292e-09,8,5.502
55,B1,solved,0.6058516982,6.447160464,0.117136537,1,0.661
55,B2,solved,0.5947614881,6.456604842,0.1583493114,2,0.725
55,B3,solved,0.519728129,7.093383602,0.1955021899,1,0.789
55,B4,solved,0.7931804646,6.345443717,2.445642663e-15,10,13.62
55,B5,solved,0.7926934407,6.341547604,7.207543008e-09,8,5.304
50,B1,solved,0.5994098721,6.265139709,0.1346432699,1,1.428
50,B2,solved,0.5935674347,6.27012032,0.1474744077,2,0.658
50,B3,solved,0.5247169457,6.878274918,0.1902732036,1,0.771
50,B4,solved,0.7304335597,6.179253378,0.0873721591,10,15.68
50,B5,solved,0.7215159698,6.116187622,0.02888310498,29,19.659
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
