percent,fulfilled,short,worst_user,worst_ratio,impossible,binding,digest
100,1,0,corning-2-user,1,,,def0a2082ce434f9582d078599604aa64b895f441642865b10ad1448bd9a3138
95,0,8,corning-1-user,0.9791639417,,C8 source availability,42b79ae2c3fc230f8b5ba37ec40983a97b3958ba44e38665cc5d91111cec8fb0
90,0,8,corning-5-user,0.9583278834,,C8 source availability,faea28b3c3b56f694501549a0330e08edc924e5920f9d37ec76668f8f0760d2e
85,0,8,corning-1-user,0.9374918251,,C8 source availability,7ecd1b9a1f659e7fe059e236690dbdee8ca51d402e4c2042c9a874a37e3bd271
80,0,8,corning-1-user,0.9166557668,,C8 source availability,ff0a89d555bcd6f791f36f0fa9a9b2840f4bf6296728dc6c2d0418f2c27a97dc
75,0,8,corning-4-user,0.8958197085,,C8 source availability,4934f559c669c1823794a09bf2d79f97c840d1b1ddfe7612b012425b8c116b8c
70,0,8,corning-2-user,0.8749836503,,C8 source availability,d83a0f9803fa1fea2b845caca5e0af5b14bbcbfe273879db2433f6f1fb493fca
65,0,8,corning-4-user,0.854147592,,C8 source availability,4d2c30c6ff2eb5a272b2f26fa6077e28f06c0af8f9a881ed5194e0646d02180c
60,0,8,corning-3-user,0.8315611777,,C8 source availability,817f386a3bc11a5098711c6d32f0e1b79f106bf67bd7a0204d859d745b6cba89
55,0,8,corning-2-user,0.7887350731,,C8 source availability,8fa3354601266d19d3b87b4bfba86e104375fc72f62b16384ea90f8e1876984e
50,0,8,corning-2-user,0.739119001,,C8 source availability,e1e02e9f5edfcfd89e5364daad6bae1391672432739bc6505fa9026ad3817169
45,0,7,corning-2-user,0.6726479951,corning-3-user,C8 source availability,ac674379e06e21aa6ea237c62869d06c1d880490c109270e342af166fdd23372
40,0,8,,,,C8 source availability,f01718fda7aacf789a25ef917b9756d0cba28b465f10f8e11d6cc1e74f6dc5e6
35,0,8,,,,C8 source availability,4af90fd8ab1fc722f34b47a12f88ea8e9f33205994c3688fc8f4d4f6c4b0fb63
30,0,8,,,,C2 delivered flow non-negative C8 source availability,9c4ee8b39596744a66b16ca32bd0fbeacc8b66147271f307db541f4cf2377a5c
