percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.9621078469
95,B1,corning-2-user,0.9769363871
95,B1,corning-3-user,0.9886522998
95,B1,corning-4-user,0.9129604969
95,B1,corning-5-user,1
95,B1,corning-6-user,0.9285681743
95,B1,corning-7-user,0.9921907977
95,B1,corning-8-user,1
95,B2,corning-1-user,0.9621081716
95,B2,corning-2-user,0.9955774756
95,B2,corning-3-user,0.9708201992
95,B2,corning-4-user,0.9129596604
95,B2,corning-5-user,1
95,B2,corning-6-user,0.9191044678
95,B2,corning-7-user,1
95,B2,corning-8-user,1
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9151123551
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9791629417
95,B4,corning-2-user,0.9791629417
95,B4,corning-3-user,0.9791629417
95,B4,corning-4-user,0.9791629417
95,B4,corning-5-user,0.9791629417
95,B4,corning-6-user,0.9791629417
95,B4,corning-7-user,0.9791629417
95,B4,corning-8-user,0.9791629417
95,B5,corning-1-user,0.9223578746
95,B5,corning-2-user,0.9223578681
95,B5,corning-3-user,0.9223578712
95,B5,corning-4-user,0.9223578735
95,B5,corning-5-user,0.9223578661
95,B5,corning-6-user,0.9223578665
95,B5,corning-7-user,0.9223578692
95,B5,corning-8-user,0.9223578725
90,B1,corning-1-user,0.8653091138
90,B1,corning-2-user,0.9277675779
90,B1,corning-3-user,1
90,B1,corning-4-user,0.8742556113
90,B1,corning-5-user,0.912038368
90,B1,corning-6-user,0.981793703
90,B1,corning-7-user,0.9753974418
90,B1,corning-8-user,1
90,B2,corning-1-user,0.8787454395
90,B2,corning-2-user,0.8752724585
90,B2,corning-3-user,0.9939710705
90,B2,corning-4-user,0.9161061239
90,B2,corning-5-user,0.9130573731
90,B2,corning-6-user,0.9817943798
90,B2,corning-7-user,0.9921595059
90,B2,corning-8-user,1
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8302247102
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9583268834
90,B4,corning-2-user,0.9583268834
90,B4,corning-3-user,0.9583268834
90,B4,corning-4-user,0.9583268834
90,B4,corning-5-user,0.9583268834
90,B4,corning-6-user,0.9583268834
90,B4,corning-7-user,0.9583268834
90,B4,corning-8-user,0.9583268834
90,B5,corning-1-user,0.8999438025
90,B5,corning-2-user,0.8999438015
90,B5,corning-3-user,0.8999438048
90,B5,corning-4-user,0.8999438001
90,B5,corning-5-user,0.8999437977
90,B5,corning-6-user,0.8999438089
90,B5,corning-7-user,0.8999438036
90,B5,corning-8-user,0.8999437997
85,B1,corning-1-user,0.7135020051
85,B1,corning-2-user,0.9551247498
85,B1,corning-3-user,0.9964724903
85,B1,corning-4-user,0.9367292299
85,B1,corning-5-user,0.9699416158
85,B1,corning-6-user,0.9285717863
85,B1,corning-7-user,0.976572393
85,B1,corning-8-user,1
85,B2,corning-1-user,0.7417737228
85,B2,corning-2-user,0.9538847119
85,B2,corning-3-user,0.9417633199
85,B2,corning-4-user,0.9785863689
85,B2,corning-5-user,0.98267732
85,B2,corning-6-user,0.9367292299
85,B2,corning-7-user,0.9773469316
85,B2,corning-8-user,1
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7453370653
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9374908251
85,B4,corning-2-user,0.9374908251
85,B4,corning-3-user,0.9374908251
85,B4,corning-4-user,0.9374908251
85,B4,corning-5-user,0.9374908251
85,B4,corning-6-user,0.9374908251
85,B4,corning-7-user,0.9374908251
85,B4,corning-8-user,0.9374908251
85,B5,corning-1-user,0.8727327931
85,B5,corning-2-user,0.8727327948
85,B5,corning-3-user,0.8727327931
85,B5,corning-4-user,0.87273279
85,B5,corning-5-user,0.8727327964
85,B5,corning-6-user,0.8727327933
85,B5,corning-7-user,0.8727327899
85,B5,corning-8-user,0.8727327957
80,B1,corning-1-user,0.8432478918
80,B1,corning-2-user,0.8996701561
80,B1,corning-3-user,0.8913454883
80,B1,corning-4-user,0.7722590322
80,B1,corning-5-user,0.9285681743
80,B1,corning-6-user,0.9285681743
80,B1,corning-7-user,0.969500306
80,B1,corning-8-user,1
80,B2,corning-1-user,0.8851038128
80,B2,corning-2-user,0.8949999593
80,B2,corning-3-user,0.8471157654
80,B2,corning-4-user,0.7151314852
80,B2,corning-5-user,0.9544028579
80,B2,corning-6-user,0.9307003372
80,B2,corning-7-user,0.9714724986
80,B2,corning-8-user,1
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6604494204
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.9166547668
80,B4,corning-2-user,0.9166547668
80,B4,corning-3-user,0.9166547668
80,B4,corning-4-user,0.9166547668
80,B4,corning-5-user,0.9166547668
80,B4,corning-6-user,0.9166547668
80,B4,corning-7-user,0.9166547668
80,B4,corning-8-user,0.9166547668
80,B5,corning-1-user,0.8648737742
80,B5,corning-2-user,0.8648737624
80,B5,corning-3-user,0.864873759
80,B5,corning-4-user,0.8648737509
80,B5,corning-5-user,0.8648737736
80,B5,corning-6-user,0.8648737664
80,B5,corning-7-user,0.8648737692
80,B5,corning-8-user,0.8648737723
75,B1,corning-1-user,0.8513228979
75,B1,corning-2-user,0.8008940052
75,B1,corning-3-user,0.8499482275
75,B1,corning-4-user,0.8612292913
75,B1,corning-5-user,0.7938826747
75,B1,corning-6-user,0.9414309825
75,B1,corning-7-user,1
75,B1,corning-8-user,1
75,B2,corning-1-user,0.8657620213
75,B2,corning-2-user,0.8071473222
75,B2,corning-3-user,0.812891844
75,B2,corning-4-user,0.7897999662
75,B2,corning-5-user,0.9185881888
75,B2,corning-6-user,0.8916127685
75,B2,corning-7-user,1
75,B2,corning-8-user,1
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5755617756
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8958187085
75,B4,corning-2-user,0.8958187085
75,B4,corning-3-user,0.8958187085
75,B4,corning-4-user,0.8958187085
75,B4,corning-5-user,0.8958187085
75,B4,corning-6-user,0.8958187085
75,B4,corning-7-user,0.8958187085
75,B4,corning-8-user,0.8958187085
75,B5,corning-1-user,0.8696856629
75,B5,corning-2-user,0.8696856599
75,B5,corning-3-user,0.8696856605
75,B5,corning-4-user,0.8696856619
75,B5,corning-5-user,0.8696856564
75,B5,corning-6-user,0.8696856663
75,B5,corning-7-user,0.8696856581
75,B5,corning-8-user,0.8696856596
70,B1,corning-1-user,0.6988452034
70,B1,corning-2-user,0.7846730524
70,B1,corning-3-user,0.8950178879
70,B1,corning-4-user,0.8571401246
70,B1,corning-5-user,0.7857316843
70,B1,corning-6-user,0.9654508443
70,B1,corning-7-user,0.9343037192
70,B1,corning-8-user,1
70,B2,corning-1-user,0.6728700056
70,B2,corning-2-user,0.8194841304
70,B2,corning-3-user,0.8328155206
70,B2,corning-4-user,0.7857092557
70,B2,corning-5-user,0.8320263591
70,B2,corning-6-user,0.9883070354
70,B2,corning-7-user,0.9486062649
70,B2,corning-8-user,1
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.4948114908
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.995143099
70,B4,corning-1-user,0.8749826503
70,B4,corning-2-user,0.8749826503
70,B4,corning-3-user,0.8749826503
70,B4,corning-4-user,0.8749826503
70,B4,corning-5-user,0.8749826503
70,B4,corning-6-user,0.8749826503
70,B4,corning-7-user,0.8749826503
70,B4,corning-8-user,0.8749826503
70,B5,corning-1-user,0.858450796
70,B5,corning-2-user,0.8584507947
70,B5,corning-3-user,0.8584507963
70,B5,corning-4-user,0.8584507961
70,B5,corning-5-user,0.8584507945
70,B5,corning-6-user,0.8584507928
70,B5,corning-7-user,0.8584507951
70,B5,corning-8-user,0.8584507954
65,B1,corning-1-user,0.7331416055
65,B1,corning-2-user,0.6916330808
65,B1,corning-3-user,0.8319816084
65,B1,corning-4-user,0.7231434495
65,B1,corning-5-user,0.9285681743
65,B1,corning-6-user,0.9810595302
65,B1,corning-7-user,0.9753974418
65,B1,corning-8-user,1
65,B2,corning-1-user,0.69300694
65,B2,corning-2-user,0.7055207071
65,B2,corning-3-user,0.7773340017
65,B2,corning-4-user,0.7231307572
65,B2,corning-5-user,1
65,B2,corning-6-user,0.9810598274
65,B2,corning-7-user,0.9943233079
65,B2,corning-8-user,1
65,B3,corning-1-user,1
65,B3,corning-2-user,1
65,B3,corning-3-user,0.4948114908
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.8954923854
65,B4,corning-1-user,0.854146592
65,B4,corning-2-user,0.854146592
65,B4,corning-3-user,0.854146592
65,B4,corning-4-user,0.854146592
65,B4,corning-5-user,0.854146592
65,B4,corning-6-user,0.854146592
65,B4,corning-7-user,0.854146592
65,B4,corning-8-user,0.854146592
65,B5,corning-1-user,0.8396640629
65,B5,corning-2-user,0.8396640633
65,B5,corning-3-user,0.8396640617
65,B5,corning-4-user,0.8396640629
65,B5,corning-5-user,0.8396640624
65,B5,corning-6-user,0.8396640616
65,B5,corning-7-user,0.8396640637
65,B5,corning-8-user,0.8396640636
60,B1,corning-1-user,0.6643780109
60,B1,corning-2-user,0.7871138558
60,B1,corning-3-user,0.717935099
60,B1,corning-4-user,0.8196051828
60,B1,corning-5-user,0.9285681743
60,B1,corning-6-user,0.9120839268
60,B1,corning-7-user,1
60,B1,corning-8-user,1
60,B2,corning-1-user,0.6419535484
60,B2,corning-2-user,0.7683057817
60,B2,corning-3-user,0.7131284937
60,B2,corning-4-user,0.8161182547
60,B2,corning-5-user,0.9730395496
60,B2,corning-6-user,0.8512222312
60,B2,corning-7-user,1
60,B2,corning-8-user,1
60,B3,corning-1-user,1
60,B3,corning-2-user,1
60,B3,corning-3-user,0.4948114908
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.7958416718
60,B4,corning-1-user,0.8315601777
60,B4,corning-2-user,0.8315601777
60,B4,corning-3-user,0.8315601777
60,B4,corning-4-user,0.8315601777
60,B4,corning-5-user,0.8315601777
60,B4,corning-6-user,0.8315601777
60,B4,corning-7-user,0.8315601777
60,B4,corning-8-user,0.8315601777
60,B5,corning-1-user,0.8241188149
60,B5,corning-2-user,0.8241188177
60,B5,corning-3-user,0.824118816
60,B5,corning-4-user,0.8241188146
60,B5,corning-5-user,0.8241188141
60,B5,corning-6-user,0.8241188145
60,B5,corning-7-user,0.8241188147
60,B5,corning-8-user,0.8241188159
55,B1,corning-1-user,0.6485866036
55,B1,corning-2-user,0.6990766637
55,B1,corning-3-user,0.7039375634
55,B1,corning-4-user,0.8612256673
55,B1,corning-5-user,0.9285681743
55,B1,corning-6-user,0.8676332136
55,B1,corning-7-user,0.9843969047
55,B1,corning-8-user,1
55,B2,corning-1-user,0.667095402
55,B2,corning-2-user,0.7345378559
55,B2,corning-3-user,0.6597663311
55,B2,corning-4-user,0.7271488258
55,B2,corning-5-user,0.8822698765
55,B2,corning-6-user,0.7981302856
55,B2,corning-7-user,1
55,B2,corning-8-user,1
55,B3,corning-1-user,1
55,B3,corning-2-user,0.9013889649
55,B3,corning-3-user,0.4948114908
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.7733582883
55,B4,corning-1-user,0.7887340731
55,B4,corning-2-user,0.7887340731
55,B4,corning-3-user,0.7887340731
55,B4,corning-4-user,0.7887340731
55,B4,corning-5-user,0.7887340731
55,B4,corning-6-user,0.7887340731
55,B4,corning-7-user,0.7887340731
55,B4,corning-8-user,0.8832201751
55,B5,corning-1-user,0.7897347331
55,B5,corning-2-user,0.7887600715
55,B5,corning-3-user,0.779985417
55,B5,corning-4-user,0.8073076356
55,B5,corning-5-user,0.8079649729
55,B5,corning-6-user,0.8158934981
55,B5,corning-7-user,0.8218308803
55,B5,corning-8-user,0.8389948071
50,B1,corning-1-user,0.6103805013
50,B1,corning-2-user,0.6129557962
50,B1,corning-3-user,0.6773135227
50,B1,corning-4-user,0.8221492643
50,B1,corning-5-user,1
50,B1,corning-6-user,0.9231658945
50,B1,corning-7-user,1
50,B1,corning-8-user,1
50,B2,corning-1-user,0.6026377028
