percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.55
100,B2,solved,1,8,0,2,0.584
100,B3,solved,1,8,9.614813432e-17,1,1.969
100,B4,solved,1,8,0,10,16.601
100,B5,solved,1,8,0,1,0.607
95,B1,solved,0.9129604969,7.761416003,0.03106563575,1,0.617
95,B2,solved,0.9129596604,7.760569975,0.03402402803,2,0.591
95,B3,solved,0.9151123551,7.915112355,0.02807394972,1,1.519
95,B4,solved,0.9791629417,7.833303534,7.722935922e-15,10,21.654
95,B5,solved,0.9223578661,7.378862962,3.003555717e-09,8,6.162
90,B1,solved,0.8653091138,7.536561816,0.0512322456,1,0.612
90,B2,solved,0.8752724585,7.551106351,0.05012223598,2,0.585
90,B3,solved,0.8302247102,7.83022471,0.05614789944,1,1.968
90,B4,solved,0.9583268834,7.666615067,2.427443679e-14,10,24.156
90,B5,solved,0.8999437977,7.199550419,3.261322624e-09,8,6.449
85,B1,solved,0.7135020051,7.47691427,0.08693570664,1,0.604
85,B2,solved,0.7417737228,7.512761605,0.07729711745,2,0.582
85,B3,solved,0.7453370653,7.745337065,0.08422184916,1,1.841
85,B4,solved,0.9374908251,7.499926601,4.350585326e-14,10,18.717
85,B5,solved,0.8727327899,6.981862346,2.241639947e-09,8,5.989
80,B1,solved,0.7722590322,7.233159223,0.06702490019,1,0.567
80,B2,solved,0.7151314852,7.198926716,0.08383791096,2,0.586
80,B3,solved,0.6604494204,7.66044942,0.1122957989,1,1.705
80,B4,solved,0.9166547668,7.333238135,1.917571394e-13,10,20.54
80,B5,solved,0.8648737509,6.918990128,7.608841541e-09,8,5.886
75,B1,solved,0.7938826747,7.098708079,0.07737466692,1,0.602
75,B2,solved,0.7897999662,7.085802111,0.07771056793,2,0.573
75,B3,solved,0.5755617756,7.575561776,0.1403697486,1,1.064
75,B4,solved,0.8958187085,7.166549668,5.703888968e-15,10,17.459
75,B5,solved,0.8696856564,6.957485286,2.833839362e-09,8,5.577
70,B1,solved,0.6988452034,6.921162516,0.09645229438,1,0.598
70,B2,solved,0.6728700056,6.879818572,0.1046503506,2,0.572
70,B3,solved,0.4948114908,7.48995459,0.1668535021,1,1.095
70,B4,solved,0.8749826503,6.999861202,1.26174661e-14,10,17.726
70,B5,solved,0.8584507928,6.867606361,1.068127914e-09,8,5.788
65,B1,solved,0.6916330808,6.864924891,0.1205199071,1,0.709
65,B2,solved,0.69300694,6.874375541,0.1365703433,2,0.556
65,B3,solved,0.4948114908,7.390303876,0.1657072346,1,0.896
65,B4,solved,0.854146592,6.833172736,5.467214349e-16,10,18.284
65,B5,solved,0.8396640616,6.717312502,7.514021098e-10,8,5.858
60,B1,solved,0.6643780109,6.82968425,0.1181590034,1,0.663
60,B2,solved,0.6419535484,6.763767859,0.1273848411,2,0.652
60,B3,solved,0.4948114908,7.290653163,0.1710261076,1,0.891
60,B4,solved,0.8315601777,6.652481422,1.962615573e-16,10,17.709
60,B5,solved,0.8241188141,6.592950522,1.101839298e-09,9,6.284
55,B1,solved,0.6485866036,6.693424791,0.1276871629,1,0.717
55,B2,solved,0.6597663311,6.468948577,0.1289860894,2,0.615
55,B3,solved,0.4948114908,7.169558744,0.1695958234,1,0.848
55,B4,solved,0.7887340731,6.404358687,0.03124834101,10,20.15
55,B5,solved,0.779985417,6.450472016,0.01830469583,37,25.899
50,B1,solved,0.6103805013,6.645964979,0.163589097,1,0.644
50,B2,solved,0.6026377028,6.628186949,0.1669676174,2,0.621
50,B3,solved,0.4948114908,7.037280865,0.174936863,1,0.841
50,B4,solved,0.739118001,6.162991424,0.08269540989,10,16.843
50,B5,solved,0.7204444805,6.385289545,0.05411263336,35,25.003
45,B1,solved,0.5887471436,6.292107924,0.1647078384,1,0.621
45,B2,solved,0.6146090544,6.315119998,0.1586195629,2,0.595
45,B3,solved,0.4948138735,6.893296115,0.2025423966,1,0.765
45,B4,solved,0.6726469951,5.977724046,0.1299722465,10,16.945
45,B5,solved,0.6386603627,6.27529043,0.1017712053,30,21.153
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
