percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.9717002404
95,B1,corning-2-user,0.997420847
95,B1,corning-3-user,0.9849802507
95,B1,corning-4-user,0.9465193439
95,B1,corning-5-user,0.9285714262
95,B1,corning-6-user,1
95,B1,corning-7-user,0.9585296329
95,B1,corning-8-user,0.9654876227
95,B2,corning-1-user,0.9717002526
95,B2,corning-2-user,0.9494876066
95,B2,corning-3-user,0.9849802473
95,B2,corning-4-user,0.9317245518
95,B2,corning-5-user,0.9285714285
95,B2,corning-6-user,1
95,B2,corning-7-user,0.9666297511
95,B2,corning-8-user,0.9705510594
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9418568211
95,B5,corning-2-user,0.9418568196
95,B5,corning-3-user,0.9418568172
95,B5,corning-4-user,0.9418568115
95,B5,corning-5-user,0.9418568146
95,B5,corning-6-user,0.9418568145
95,B5,corning-7-user,0.9418568138
95,B5,corning-8-user,0.9418568218
90,B1,corning-1-user,0.9714965642
90,B1,corning-2-user,0.9948416939
90,B1,corning-3-user,0.9413362784
90,B1,corning-4-user,1
90,B1,corning-5-user,0.8571428177
90,B1,corning-6-user,0.8060471929
90,B1,corning-7-user,0.9997502349
90,B1,corning-8-user,0.9541781829
90,B2,corning-1-user,0.9732315953
90,B2,corning-2-user,0.9293340166
90,B2,corning-3-user,0.9683381171
90,B2,corning-4-user,0.9285713915
90,B2,corning-5-user,0.7988051388
90,B2,corning-6-user,0.9066741146
90,B2,corning-7-user,0.999750235
90,B2,corning-8-user,0.9501322053
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540393255
90,B5,corning-1-user,0.8948377074
90,B5,corning-2-user,0.8948377081
90,B5,corning-3-user,0.8948377123
90,B5,corning-4-user,0.8948377037
90,B5,corning-5-user,0.8948377109
90,B5,corning-6-user,0.8948377051
90,B5,corning-7-user,0.8948377121
90,B5,corning-8-user,0.8948377112
85,B1,corning-1-user,0.9559633296
85,B1,corning-2-user,0.9163542218
85,B1,corning-3-user,0.9225649876
85,B1,corning-4-user,0.8709551658
85,B1,corning-5-user,0.9285714262
85,B1,corning-6-user,0.8505912439
85,B1,corning-7-user,0.9827077924
85,B1,corning-8-user,0.9432354188
85,B2,corning-1-user,0.9506767476
85,B2,corning-2-user,0.848139737
85,B2,corning-3-user,0.9322403928
85,B2,corning-4-user,0.8709551714
85,B2,corning-5-user,0.8571428201
85,B2,corning-6-user,0.9468762538
85,B2,corning-7-user,0.9833818052
85,B2,corning-8-user,0.9372648786
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310642708
85,B5,corning-1-user,0.8876997744
85,B5,corning-2-user,0.8876997694
85,B5,corning-3-user,0.887699773
85,B5,corning-4-user,0.8876997715
85,B5,corning-5-user,0.8876997722
85,B5,corning-6-user,0.8876997711
85,B5,corning-7-user,0.8876997713
85,B5,corning-8-user,0.8876997729
80,B1,corning-1-user,0.9340049745
80,B1,corning-2-user,0.9582420862
80,B1,corning-3-user,0.8025515842
80,B1,corning-4-user,1
80,B1,corning-5-user,0.8571428177
80,B1,corning-6-user,0.8683883683
80,B1,corning-7-user,0.9440363811
80,B1,corning-8-user,0.9610307634
80,B2,corning-1-user,0.9231424183
80,B2,corning-2-user,0.886138674
80,B2,corning-3-user,0.8092519436
80,B2,corning-4-user,0.9285713915
80,B2,corning-5-user,0.7988051388
80,B2,corning-6-user,0.9642856705
80,B2,corning-7-user,0.9468518608
80,B2,corning-8-user,0.9523052102
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.9080844336
80,B5,corning-1-user,0.8872912941
80,B5,corning-2-user,0.8872912941
80,B5,corning-3-user,0.8872912941
80,B5,corning-4-user,0.8872912941
80,B5,corning-5-user,0.8872912941
80,B5,corning-6-user,0.8872912941
80,B5,corning-7-user,0.8872912941
80,B5,corning-8-user,0.8872912941
75,B1,corning-1-user,0.8765079601
75,B1,corning-2-user,0.9395925696
75,B1,corning-3-user,0.7564379159
75,B1,corning-4-user,0.9669683024
75,B1,corning-5-user,0.8571428177
75,B1,corning-6-user,0.8694098532
75,B1,corning-7-user,0.9085726283
75,B1,corning-8-user,0.9848097085
75,B2,corning-1-user,0.8668464843
75,B2,corning-2-user,0.8723867864
75,B2,corning-3-user,0.7419027868
75,B2,corning-4-user,0.8955396866
75,B2,corning-5-user,0.7988051388
75,B2,corning-6-user,0.9642856705
75,B2,corning-7-user,0.9206166647
75,B2,corning-8-user,0.9664550881
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5318922039
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8850998137
75,B5,corning-1-user,0.8753790905
75,B5,corning-2-user,0.8753790959
75,B5,corning-3-user,0.8753790966
75,B5,corning-4-user,0.8753791055
75,B5,corning-5-user,0.8753791011
75,B5,corning-6-user,0.8753791015
75,B5,corning-7-user,0.8753790934
75,B5,corning-8-user,0.8753791055
70,B1,corning-1-user,0.845498206
70,B1,corning-2-user,0.9000607631
70,B1,corning-3-user,0.7431542225
70,B1,corning-4-user,0.9285714421
70,B1,corning-5-user,0.9285713915
70,B1,corning-6-user,0.8723867864
70,B1,corning-7-user,0.8611519874
70,B1,corning-8-user,0.9668610832
70,B2,corning-1-user,0.8434476953
70,B2,corning-2-user,0.8255063503
70,B2,corning-3-user,0.7362920047
70,B2,corning-4-user,0.8571428177
70,B2,corning-5-user,0.8680277766
70,B2,corning-6-user,0.9642856705
70,B2,corning-7-user,0.8917306721
70,B2,corning-8-user,0.9460631968
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.5279888268
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.8946786558
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.8621199764
70,B5,corning-1-user,0.8614421458
70,B5,corning-2-user,0.8614421458
70,B5,corning-3-user,0.8614421458
70,B5,corning-4-user,0.8614421551
70,B5,corning-5-user,0.8614421365
70,B5,corning-6-user,0.8614421458
70,B5,corning-7-user,0.8614421458
70,B5,corning-8-user,0.8614421458
65,B1,corning-1-user,0.8368805004
65,B1,corning-2-user,0.8118590571
65,B1,corning-3-user,0.7291058203
65,B1,corning-4-user,0.9009604379
65,B1,corning-5-user,0.8737765273
65,B1,corning-6-user,0.8360138284
65,B1,corning-7-user,0.8944506188
65,B1,corning-8-user,0.9524906176
65,B2,corning-1-user,0.8248288208
65,B2,corning-2-user,0.7785181283
65,B2,corning-3-user,0.7089091212
65,B2,corning-4-user,0.8295318145
65,B2,corning-5-user,0.8041287447
65,B2,corning-6-user,0.8894124879
65,B2,corning-7-user,0.934906768
65,B2,corning-8-user,0.9493900159
65,B3,corning-1-user,1
65,B3,corning-2-user,0.9134521555
65,B3,corning-3-user,0.5287792708
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.8515802695
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391401392
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391449218
65,B5,corning-1-user,0.8376681835
65,B5,corning-2-user,0.8376682514
65,B5,corning-3-user,0.8376683072
65,B5,corning-4-user,0.837668256
65,B5,corning-5-user,0.8376682825
65,B5,corning-6-user,0.8376682685
65,B5,corning-7-user,0.8376682324
65,B5,corning-8-user,0.8376682756
60,B1,corning-1-user,0.8048608655
60,B1,corning-2-user,0.7076731215
60,B1,corning-3-user,0.7301331139
60,B1,corning-4-user,0.661675569
60,B1,corning-5-user,0.8737765273
60,B1,corning-6-user,0.8723867864
60,B1,corning-7-user,0.9187307734
60,B1,corning-8-user,0.9524763
60,B2,corning-1-user,0.7809954016
60,B2,corning-2-user,0.7146936027
60,B2,corning-3-user,0.6861319753
60,B2,corning-4-user,0.6757461957
60,B2,corning-5-user,0.8041287447
60,B2,corning-6-user,0.9527091069
60,B2,corning-7-user,0.9653696674
60,B2,corning-8-user,0.9464597271
60,B3,corning-1-user,1
60,B3,corning-2-user,0.7825608653
60,B3,corning-3-user,0.5297506367
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.8429730628
60,B4,corning-1-user,0.8161603019
60,B4,corning-2-user,0.8161603019
60,B4,corning-3-user,0.8161603019
60,B4,corning-4-user,0.8161603019
60,B4,corning-5-user,0.8161603019
60,B4,corning-6-user,0.8161603019
60,B4,corning-7-user,0.8161603019
60,B4,corning-8-user,0.8161650845
60,B5,corning-1-user,0.8161542946
60,B5,corning-2-user,0.8161542971
60,B5,corning-3-user,0.8161542894
60,B5,corning-4-user,0.8161542921
60,B5,corning-5-user,0.8161542909
60,B5,corning-6-user,0.8161542977
60,B5,corning-7-user,0.8161542994
60,B5,corning-8-user,0.8161542911
55,B1,corning-1-user,0.7523784246
55,B1,corning-2-user,0.6286560918
55,B1,corning-3-user,0.733200114
55,B1,corning-4-user,0.7298735708
55,B1,corning-5-user,0.8737765273
55,B1,corning-6-user,0.8723867864
55,B1,corning-7-user,0.9043379775
55,B1,corning-8-user,0.9382170162
55,B2,corning-1-user,0.7621289031
55,B2,corning-2-user,0.635670598
55,B2,corning-3-user,0.6859277173
55,B2,corning-4-user,0.7060882825
55,B2,corning-5-user,0.8041287447
55,B2,corning-6-user,0.9484189486
55,B2,corning-7-user,0.9642856705
55,B2,corning-8-user,0.921126538
55,B3,corning-1-user,0.9199566684
55,B3,corning-2-user,0.7104040195
55,B3,corning-3-user,0.5326728034
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.8452721611
55,B4,corning-1-user,0.7719704397
55,B4,corning-2-user,0.7719704397
55,B4,corning-3-user,0.7719704397
55,B4,corning-4-user,0.7719704397
55,B4,corning-5-user,0.7719704397
55,B4,corning-6-user,0.8166597253
55,B4,corning-7-user,0.7719704397
55,B4,corning-8-user,0.8578703729
55,B5,corning-1-user,0.7864465367
55,B5,corning-2-user,0.7660239808
55,B5,corning-3-user,0.7689213981
55,B5,corning-4-user,0.7981994998
55,B5,corning-5-user,0.7978708448
55,B5,corning-6-user,0.8078943276
55,B5,corning-7-user,0.8114908057
55,B5,corning-8-user,0.8321598306
50,B1,corning-1-user,0.6708333687
