percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.634
100,B2,solved,1,8,0,2,0.618
100,B3,solved,1,8,0,1,0.539
100,B4,solved,1,8,0,10,6.187
100,B5,solved,1,8,0,1,0.585
95,B1,solved,0.9285714262,7.753209364,0.02316526574,1,0.645
95,B2,solved,0.9285714285,7.703644897,0.02330254404,2,0.584
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.535
95,B4,solved,0.9770191627,7.816153302,1.415262217e-16,10,9.41
95,B5,solved,0.9418568115,7.534854534,3.517858955e-09,8,4.289
90,B1,solved,0.8060471929,7.524792965,0.06724799034,1,0.644
90,B2,solved,0.7988051388,7.454836814,0.05738068016,2,0.581
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.554
90,B4,solved,0.9540393255,7.632314604,3.236828525e-16,10,9.083
90,B5,solved,0.8948377037,7.158701671,3.068766416e-09,8,4.32
85,B1,solved,0.8505912439,7.370943586,0.04041480874,1,0.663
85,B2,solved,0.848139737,7.326677806,0.04678417729,2,0.587
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.542
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,9.497
85,B5,solved,0.8876997694,7.101598176,1.397985645e-09,8,4.789
80,B1,solved,0.8025515842,7.325396975,0.06182547284,1,0.691
80,B2,solved,0.7988051388,7.209352308,0.06028296617,2,0.593
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.558
80,B4,solved,0.908079651,7.26464199,1.581699156e-06,10,9.636
80,B5,solved,0.8872912941,7.098330353,2.422098654e-12,8,4.567
75,B1,solved,0.7564379159,7.159441756,0.06805082972,1,0.731
75,B2,solved,0.7419027868,7.026838306,0.07275173523,2,0.64
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,0.555
75,B4,solved,0.8850998137,7.08079851,4.74287484e-16,10,9.876
75,B5,solved,0.8753790905,7.00303279,5.164968417e-09,8,4.828
70,B1,solved,0.7431542225,7.046255882,0.06421750566,1,0.687
70,B2,solved,0.7362920047,6.932496184,0.06688123499,2,0.598
70,B3,solved,0.5279888268,7.422667483,0.1550092855,1,0.54
70,B4,solved,0.8621199764,6.896959811,3.280328609e-15,10,9.331
70,B5,solved,0.8614421365,6.891537166,4.656861258e-09,7,3.8
65,B1,solved,0.7291058203,6.835537408,0.06316889936,1,0.662
65,B2,solved,0.7089091212,6.719625901,0.075834013,2,0.58
65,B3,solved,0.5287792708,7.293811696,0.1537978305,1,0.539
65,B4,solved,0.8391401392,6.713125896,1.581699153e-06,10,9.477
65,B5,solved,0.8376681835,6.701346057,3.480905311e-08,8,4.26
60,B1,solved,0.661675569,6.521713057,0.0992093704,1,0.696
60,B2,solved,0.6757461957,6.526234422,0.1152096439,2,0.583
60,B3,solved,0.5297506367,7.155284565,0.1596397034,1,0.524
60,B4,solved,0.8161603019,6.529287198,1.581699154e-06,10,9.866
60,B5,solved,0.8161542894,6.529234352,3.452278735e-09,11,5.948
55,B1,solved,0.6286560918,6.432826509,0.1009609904,1,0.652
55,B2,solved,0.635670598,6.427775403,0.1193107734,2,0.565
55,B3,solved,0.5326728034,7.008305652,0.1618934718,1,0.524
55,B4,solved,0.7719704397,6.306352736,0.03009202088,10,9.698
55,B5,solved,0.7660239808,6.369007224,0.02067687583,46,25.979
50,B1,solved,0.5995227969,6.27153009,0.1404785875,1,0.673
50,B2,solved,0.5994098721,6.2837621,0.1387296588,2,0.576
50,B3,solved,0.529956891,6.726636509,0.1762194583,1,0.53
50,B4,solved,0.6533746391,6.061964624,0.1169448962,10,8.603
50,B5,solved,0.6351238837,6.176966543,0.09631507253,16,8.693
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
