percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.8835626428
95,B1,corning-2-user,1
95,B1,corning-3-user,0.9850390716
95,B1,corning-4-user,1
95,B1,corning-5-user,0.9767876227
95,B1,corning-6-user,0.9877528493
95,B1,corning-7-user,1
95,B1,corning-8-user,1
95,B2,corning-1-user,0.889702181
95,B2,corning-2-user,1
95,B2,corning-3-user,0.9606647737
95,B2,corning-4-user,0.9285714284
95,B2,corning-5-user,0.954593706
95,B2,corning-6-user,1
95,B2,corning-7-user,1
95,B2,corning-8-user,1
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9337840026
95,B5,corning-2-user,0.9337839996
95,B5,corning-3-user,0.9337839989
95,B5,corning-4-user,0.9337839996
95,B5,corning-5-user,0.9337839995
95,B5,corning-6-user,0.9337839992
95,B5,corning-7-user,0.9337840021
95,B5,corning-8-user,0.9337839997
90,B1,corning-1-user,0.8746915062
90,B1,corning-2-user,1
90,B1,corning-3-user,0.9102877716
90,B1,corning-4-user,0.9285714284
90,B1,corning-5-user,0.9535752454
90,B1,corning-6-user,0.9755056986
90,B1,corning-7-user,1
90,B1,corning-8-user,1
90,B2,corning-1-user,0.8895218297
90,B2,corning-2-user,1
90,B2,corning-3-user,0.8987582907
90,B2,corning-4-user,0.9285713915
90,B2,corning-5-user,0.8377588036
90,B2,corning-6-user,1
90,B2,corning-7-user,0.9285713915
90,B2,corning-8-user,0.9792670389
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540441081
90,B5,corning-1-user,0.9166901539
90,B5,corning-2-user,0.9166901521
90,B5,corning-3-user,0.9166901515
90,B5,corning-4-user,0.9166901506
90,B5,corning-5-user,0.9166901531
90,B5,corning-6-user,0.9166901523
90,B5,corning-7-user,0.9166901515
90,B5,corning-8-user,0.9166901523
85,B1,corning-1-user,0.8770487263
85,B1,corning-2-user,0.9285714285
85,B1,corning-3-user,0.8837607505
85,B1,corning-4-user,1
85,B1,corning-5-user,0.8589343101
85,B1,corning-6-user,0.9632585479
85,B1,corning-7-user,1
85,B1,corning-8-user,0.9785679293
85,B2,corning-1-user,0.8562539807
85,B2,corning-2-user,0.9001199251
85,B2,corning-3-user,0.8837608025
85,B2,corning-4-user,0.8723867864
85,B2,corning-5-user,0.8589337596
85,B2,corning-6-user,1
85,B2,corning-7-user,1
85,B2,corning-8-user,0.9268833531
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310642708
85,B5,corning-1-user,0.9027341119
85,B5,corning-2-user,0.9027341099
85,B5,corning-3-user,0.9027341107
85,B5,corning-4-user,0.9027341097
85,B5,corning-5-user,0.9027341102
85,B5,corning-6-user,0.9027341072
85,B5,corning-7-user,0.9027341075
85,B5,corning-8-user,0.9027341105
80,B1,corning-1-user,0.8037431145
80,B1,corning-2-user,1
80,B1,corning-3-user,0.836894704
80,B1,corning-4-user,0.8723867864
80,B1,corning-5-user,0.8571434189
80,B1,corning-6-user,0.9510113972
80,B1,corning-7-user,1
80,B1,corning-8-user,0.9430236207
80,B2,corning-1-user,0.8221892812
80,B2,corning-2-user,0.9280253421
80,B2,corning-3-user,0.7639865186
80,B2,corning-4-user,0.8723868079
80,B2,corning-5-user,0.8072089258
80,B2,corning-6-user,1
80,B2,corning-7-user,1
80,B2,corning-8-user,0.9381585466
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.9080844336
80,B5,corning-1-user,0.8926842106
80,B5,corning-2-user,0.8926842098
80,B5,corning-3-user,0.8926842085
80,B5,corning-4-user,0.8926842076
80,B5,corning-5-user,0.8926842104
80,B5,corning-6-user,0.8926842108
80,B5,corning-7-user,0.8926842083
80,B5,corning-8-user,0.89268421
75,B1,corning-1-user,0.8571428706
75,B1,corning-2-user,0.9102101314
75,B1,corning-3-user,0.7851257855
75,B1,corning-4-user,0.8714314858
75,B1,corning-5-user,0.7321748725
75,B1,corning-6-user,0.9828611625
75,B1,corning-7-user,1
75,B1,corning-8-user,0.9246064622
75,B2,corning-1-user,0.7766634133
75,B2,corning-2-user,0.9201561578
75,B2,corning-3-user,0.7266013271
75,B2,corning-4-user,0.8714315063
75,B2,corning-5-user,0.7321743193
75,B2,corning-6-user,0.9328959457
75,B2,corning-7-user,1
75,B2,corning-8-user,0.9563334978
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5359189367
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,0.9952729658
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8851045963
75,B5,corning-1-user,0.8805560738
75,B5,corning-2-user,0.8805560734
75,B5,corning-3-user,0.8805560747
75,B5,corning-4-user,0.8805560743
75,B5,corning-5-user,0.8805560739
75,B5,corning-6-user,0.8805560741
75,B5,corning-7-user,0.8805560739
75,B5,corning-8-user,0.8805560737
70,B1,corning-1-user,0.7213085067
70,B1,corning-2-user,0.8644162355
70,B1,corning-3-user,0.8229719297
70,B1,corning-4-user,0.798805116
70,B1,corning-5-user,0.7295446955
70,B1,corning-6-user,0.9285714262
70,B1,corning-7-user,0.9812311932
70,B1,corning-8-user,0.9448903472
70,B2,corning-1-user,0.7397546718
70,B2,corning-2-user,0.8386012245
70,B2,corning-3-user,0.7260653082
70,B2,corning-4-user,0.7988051388
70,B2,corning-5-user,0.658202644
70,B2,corning-6-user,0.8749999595
70,B2,corning-7-user,0.9812311835
70,B2,corning-8-user,1
70,B3,corning-1-user,1
70,B3,corning-2-user,0.9457556502
70,B3,corning-3-user,0.53466922
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.929288555
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.862124759
70,B5,corning-1-user,0.8579183119
70,B5,corning-2-user,0.8579183124
70,B5,corning-3-user,0.8579183112
70,B5,corning-4-user,0.8579183105
70,B5,corning-5-user,0.8579183118
70,B5,corning-6-user,0.8579183111
70,B5,corning-7-user,0.8579183109
70,B5,corning-8-user,0.8579183114
65,B1,corning-1-user,0.7615643783
65,B1,corning-2-user,0.8190405734
65,B1,corning-3-user,0.7459467516
65,B1,corning-4-user,0.798805116
65,B1,corning-5-user,0.7287573117
65,B1,corning-6-user,0.9926245775
65,B1,corning-7-user,0.9588072418
65,B1,corning-8-user,0.9206532508
65,B2,corning-1-user,0.7543332878
65,B2,corning-2-user,0.8148728079
65,B2,corning-3-user,0.6373774567
65,B2,corning-4-user,0.7978923867
65,B2,corning-5-user,0.6574170923
65,B2,corning-6-user,0.9390531087
65,B2,corning-7-user,0.9433740756
65,B2,corning-8-user,1
65,B3,corning-1-user,1
65,B3,corning-2-user,0.8178686627
65,B3,corning-3-user,0.5329497846
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.9214889215
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391401392
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391449218
65,B5,corning-1-user,0.8391406761
65,B5,corning-2-user,0.8391406761
65,B5,corning-3-user,0.8391406761
65,B5,corning-4-user,0.8391406761
65,B5,corning-5-user,0.8391406761
65,B5,corning-6-user,0.8391406761
65,B5,corning-7-user,0.8391406761
65,B5,corning-8-user,0.8391406761
60,B1,corning-1-user,0.6590902484
60,B1,corning-2-user,0.8210688438
60,B1,corning-3-user,0.7278086349
60,B1,corning-4-user,0.798805116
60,B1,corning-5-user,0.7330370704
60,B1,corning-6-user,0.9964079856
60,B1,corning-7-user,0.9317319391
60,B1,corning-8-user,0.9186347832
60,B2,corning-1-user,0.652082621
60,B2,corning-2-user,0.8209784054
60,B2,corning-3-user,0.6474749282
60,B2,corning-4-user,0.7987120859
60,B2,corning-5-user,0.6616775443
60,B2,corning-6-user,0.8900172087
60,B2,corning-7-user,0.8934631586
60,B2,corning-8-user,0.9902602965
60,B3,corning-1-user,0.9759216602
60,B3,corning-2-user,0.712159636
60,B3,corning-3-user,0.5320095903
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.9124948391
60,B4,corning-1-user,0.8028690662
60,B4,corning-2-user,0.8028690662
60,B4,corning-3-user,0.8028690662
60,B4,corning-4-user,0.8028690662
60,B4,corning-5-user,0.8028690662
60,B4,corning-6-user,0.8028690662
60,B4,corning-7-user,0.8028690662
60,B4,corning-8-user,0.8664406281
60,B5,corning-1-user,0.805622011
60,B5,corning-2-user,0.8048895717
60,B5,corning-3-user,0.7982986486
60,B5,corning-4-user,0.8172281575
60,B5,corning-5-user,0.8196165787
60,B5,corning-6-user,0.8261193493
60,B5,corning-7-user,0.8304113901
60,B5,corning-8-user,0.8424036571
55,B1,corning-1-user,0.6465821065
55,B1,corning-2-user,0.7458617744
55,B1,corning-3-user,0.7321042585
55,B1,corning-4-user,0.7022762976
55,B1,corning-5-user,0.7975912308
55,B1,corning-6-user,0.9285713915
55,B1,corning-7-user,0.875086786
55,B1,corning-8-user,0.9319180201
55,B2,corning-1-user,0.6766200465
55,B2,corning-2-user,0.7518198998
55,B2,corning-3-user,0.6431353147
55,B2,corning-4-user,0.7425714792
55,B2,corning-5-user,0.7396766041
55,B2,corning-6-user,0.9068886521
55,B2,corning-7-user,0.9049092204
55,B2,corning-8-user,0.9519322225
55,B3,corning-1-user,0.8435571685
55,B3,corning-2-user,0.7088767788
55,B3,corning-3-user,0.5308048401
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.9045657072
55,B4,corning-1-user,0.7619517812
55,B4,corning-2-user,0.7619517812
55,B4,corning-3-user,0.7619517812
55,B4,corning-4-user,0.7619517812
55,B4,corning-5-user,0.7619517812
55,B4,corning-6-user,0.7619655312
55,B4,corning-7-user,0.7803378811
55,B4,corning-8-user,0.9017136064
55,B5,corning-1-user,0.7582717709
55,B5,corning-2-user,0.7560501513
55,B5,corning-3-user,0.7682504595
55,B5,corning-4-user,0.7929272208
55,B5,corning-5-user,0.7995943241
55,B5,corning-6-user,0.8154648863
55,B5,corning-7-user,0.8251915922
55,B5,corning-8-user,0.8523342334
