percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.536
100,B2,solved,1,8,0,2,0.542
100,B3,solved,1,8,0,1,0.493
100,B4,solved,1,8,0,10,5.587
100,B5,solved,1,8,0,1,0.543
95,B1,solved,0.8835626428,7.833142186,0.03706430804,1,0.543
95,B2,solved,0.889702181,7.733532089,0.03873144367,2,0.563
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.507
95,B4,solved,0.9770191627,7.816153302,1.359739956e-16,10,8.299
95,B5,solved,0.9337839989,7.470272001,1.30792091e-09,8,4.06
90,B1,solved,0.8746915062,7.64263165,0.04422068922,1,0.557
90,B2,solved,0.8377588036,7.462448746,0.05395750027,2,0.568
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.5
90,B4,solved,0.9540393255,7.632319386,1.581699154e-06,10,8.01
90,B5,solved,0.9166901506,7.333521217,9.691870082e-10,8,4.027
85,B1,solved,0.8589343101,7.490141693,0.05355485478,1,0.564
85,B2,solved,0.8562539807,7.298338607,0.05493208335,2,0.562
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.496
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,8.242
85,B5,solved,0.9027341072,7.221872877,1.505978756e-09,8,4.045
80,B1,solved,0.8037431145,7.264203042,0.07052019504,1,0.558
80,B2,solved,0.7639865186,7.131955422,0.08335885024,2,0.584
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.51
80,B4,solved,0.908079651,7.26464199,1.581699153e-06,10,8.036
80,B5,solved,0.8926842076,7.141473676,1.117039501e-09,8,4.11
75,B1,solved,0.7321748725,7.06355277,0.08606880847,1,0.559
75,B2,solved,0.7266013271,6.916256167,0.09928411751,2,0.556
75,B3,solved,0.5359189367,7.531191903,0.1532648643,1,0.505
75,B4,solved,0.8850998137,7.080803292,1.581699153e-06,10,7.922
75,B5,solved,0.8805560734,7.044448592,3.689902006e-10,8,4.024
70,B1,solved,0.7213085067,6.79173945,0.09152935655,1,0.582
70,B2,solved,0.658202644,6.61766013,0.1136010315,2,0.581
70,B3,solved,0.53466922,7.409713425,0.1503830579,1,0.501
70,B4,solved,0.8621199764,6.896964594,1.581699154e-06,10,8.258
70,B5,solved,0.8579183105,6.863346491,5.503348542e-10,9,4.511
65,B1,solved,0.7287573117,6.726199201,0.09579860219,1,0.588
65,B2,solved,0.6373774567,6.544320216,0.1256858287,2,0.564
65,B3,solved,0.5329497846,7.272307369,0.1546284444,1,0.514
65,B4,solved,0.8391401392,6.713125896,1.581699154e-06,10,8.665
65,B5,solved,0.8391406761,6.713125409,5.027249717e-13,20,10.114
60,B1,solved,0.6590902484,6.586584621,0.1093437206,1,0.601
60,B2,solved,0.6474749282,6.354666249,0.1211914029,2,0.56
60,B3,solved,0.5320095903,7.132585726,0.1643369549,1,0.506
60,B4,solved,0.8028690662,6.486524092,0.02102431789,12,9.864
60,B5,solved,0.7982986486,6.544589364,0.01383795395,37,19.062
55,B1,solved,0.6465821065,6.359991865,0.1000027901,1,0.56
55,B2,solved,0.6431353147,6.317553439,0.1082544808,2,0.548
55,B3,solved,0.5308048401,6.987804495,0.1621771501,1,0.511
55,B4,solved,0.7619517812,6.253775925,0.04575003715,15,10.959
55,B5,solved,0.7560501513,6.368084638,0.03204758889,29,14.881
50,B1,infeasible,,,,,
50,B2,infeasible,,,,,
50,B3,infeasible,,,,,
50,B4,infeasible,,,,,
50,B5,infeasible,,,,,
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
