percent,fulfilled,short,worst_user,worst_ratio,impossible,binding,digest
100,1,0,corning-2-user,1,,,95ad62dd0369b49d9df178780d884ae53e04dbc2ff9324d14200595be465f97e
95,0,8,corning-1-user,0.9770201627,,C8 source availability,d51b27beb3f1be3e71ff4a238134d639ce17d24c15842ecfac72546f26bc562a
90,0,8,corning-2-user,0.9540403255,,C8 source availability,abb9bec41cb3d9c8f46684adb0891611d40fdfb6da5d124312f005bbe01fc74a
85,0,8,corning-4-user,0.9310604882,,C8 source availability,c7ae6ec41897fe86cdfe6d4a2c98f2faeea4e8804ab56fd25c93fa67a3e89a0b
80,0,8,corning-5-user,0.908080651,,C8 source availability,cd69573c86241e48b23e3532e12c22579088cebe7d6d749c2447310e1aa0cdf4
75,0,8,corning-6-user,0.8851008137,,C8 source availability,c125fe03e710ac7b65659427fc204b963752127d09fed9d3d1bdeadb58064e32
70,0,8,corning-8-user,0.8621209764,,C8 source availability,28375cfd54e810c196ae4e76c07661207200a89f7a03dcee6a5563865f3ced98
65,0,8,corning-5-user,0.8391411392,,C8 source availability,e0b8de4203bd460befcaeeb0d59ab7a063771d8340b7a486eb3752483753e8e7
60,0,8,corning-2-user,0.8161613019,,C8 source availability,5e6d53d4577533e9241f383f9fc42441e03e6a40f71baf6923bebd1c4ff2e5e3
55,0,8,corning-1-user,0.7824982955,corning-1-user corning-2-user corning-3-user,C8 source availability,ca6fca984d2f91d937bb9eac87b4886fe56e44fb28135d6b9e4f3d9433a873f4
50,0,8,corning-3-user,0.6915486274,corning-1-user corning-2-user corning-3-user,C8 source availability,e1c44ca52c73658aff6896bb3ca2e6e4ee6994c57ddf2f534d2c4db869820430
45,0,8,,,,C8 source availability,30170b6d7f1e2d8aa710f3055e7702cb3f5df509f2cb751869a807cd3060706d
40,0,8,,,,C8 source availability,02f5a3b9260c40caeca41fa4a8d976cf2a1ab615c808a4b1aa06628a58815db0
35,0,8,,,,C8 source availability,639111c76071cda1b113521a301bccd1d2d5453a28daa5dd058922da544e5c62
30,0,8,,,,C2 delivered flow non-negative C8 source availability,50264dd2f33f77a9b355fd8244d3e91e9d5baba96c75908e39e4360193e7994b
