percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.9762385255
95,B1,corning-2-user,0.985050699
95,B1,corning-3-user,0.9674224658
95,B1,corning-4-user,0.9984564474
95,B1,corning-5-user,0.9285714421
95,B1,corning-6-user,1
95,B1,corning-7-user,0.9746274823
95,B1,corning-8-user,0.9772522519
95,B2,corning-1-user,0.9748165697
95,B2,corning-2-user,0.9513485436
95,B2,corning-3-user,0.9700672928
95,B2,corning-4-user,0.912231711
95,B2,corning-5-user,0.9285714262
95,B2,corning-6-user,1
95,B2,corning-7-user,0.9706433152
95,B2,corning-8-user,0.988499124
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9410176544
95,B5,corning-2-user,0.9410176397
95,B5,corning-3-user,0.9410176378
95,B5,corning-4-user,0.9410176329
95,B5,corning-5-user,0.9410176438
95,B5,corning-6-user,0.9410176371
95,B5,corning-7-user,0.9410176451
95,B5,corning-8-user,0.9410176475
90,B1,corning-1-user,0.8722305473
90,B1,corning-2-user,1
90,B1,corning-3-user,0.9330979528
90,B1,corning-4-user,1
90,B1,corning-5-user,0.8821466369
90,B1,corning-6-user,1
90,B1,corning-7-user,1
90,B1,corning-8-user,0.9634164564
90,B2,corning-1-user,0.8835959592
90,B2,corning-2-user,0.9136776276
90,B2,corning-3-user,0.9426175866
90,B2,corning-4-user,1
90,B2,corning-5-user,0.8571428704
90,B2,corning-6-user,1
90,B2,corning-7-user,0.9923660293
90,B2,corning-8-user,0.9877390741
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540393255
90,B5,corning-1-user,0.9096858991
90,B5,corning-2-user,0.9096863702
90,B5,corning-3-user,0.9096858991
90,B5,corning-4-user,0.909685742
90,B5,corning-5-user,0.9096858991
90,B5,corning-6-user,0.909685742
90,B5,corning-7-user,0.909685742
90,B5,corning-8-user,0.9096858991
85,B1,corning-1-user,0.9702719807
85,B1,corning-2-user,0.7967376621
85,B1,corning-3-user,0.9548984801
85,B1,corning-4-user,0.9518790434
85,B1,corning-5-user,0.9285713915
85,B1,corning-6-user,1
85,B1,corning-7-user,0.868027765
85,B1,corning-8-user,0.9856252199
85,B2,corning-1-user,0.9487483107
85,B2,corning-2-user,0.7566368291
85,B2,corning-3-user,0.9548984701
85,B2,corning-4-user,0.8821462805
85,B2,corning-5-user,0.9285714421
85,B2,corning-6-user,1
85,B2,corning-7-user,0.8734982868
85,B2,corning-8-user,0.9893374629
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310594882
85,B5,corning-1-user,0.8757598037
85,B5,corning-2-user,0.8757598038
85,B5,corning-3-user,0.8757598045
85,B5,corning-4-user,0.8757598044
85,B5,corning-5-user,0.8757598048
85,B5,corning-6-user,0.875759804
85,B5,corning-7-user,0.8757598046
85,B5,corning-8-user,0.875759804
80,B1,corning-1-user,0.9139183095
80,B1,corning-2-user,0.873200533
80,B1,corning-3-user,0.8516054682
80,B1,corning-4-user,0.8683883834
80,B1,corning-5-user,0.7965719684
80,B1,corning-6-user,0.9285713915
80,B1,corning-7-user,0.9333434924
80,B1,corning-8-user,0.9919261296
80,B2,corning-1-user,0.8424896955
80,B2,corning-2-user,0.8724915426
80,B2,corning-3-user,0.8746567439
80,B2,corning-4-user,0.7970617035
80,B2,corning-5-user,0.8808727826
80,B2,corning-6-user,0.8771394125
80,B2,corning-7-user,0.9714683131
80,B2,corning-8-user,1
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.908079651
80,B5,corning-1-user,0.8630209992
80,B5,corning-2-user,0.8630209994
80,B5,corning-3-user,0.8630209993
80,B5,corning-4-user,0.8630209993
80,B5,corning-5-user,0.8630209991
80,B5,corning-6-user,0.8630209994
80,B5,corning-7-user,0.8630209992
80,B5,corning-8-user,0.8630209992
75,B1,corning-1-user,0.8723868079
75,B1,corning-2-user,0.8269929329
75,B1,corning-3-user,0.8122853866
75,B1,corning-4-user,0.86800054
75,B1,corning-5-user,0.796599205
75,B1,corning-6-user,0.9285713915
75,B1,corning-7-user,0.9432740127
75,B1,corning-8-user,0.989907662
75,B2,corning-1-user,0.8009582233
75,B2,corning-2-user,0.8225152661
75,B2,corning-3-user,0.8224942925
75,B2,corning-4-user,0.7965719632
75,B2,corning-5-user,0.8534965433
75,B2,corning-6-user,0.8749582345
75,B2,corning-7-user,1
75,B2,corning-8-user,1
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5318922039
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8850998137
75,B5,corning-1-user,0.8629200368
75,B5,corning-2-user,0.862920038
75,B5,corning-3-user,0.862920033
75,B5,corning-4-user,0.8629200384
75,B5,corning-5-user,0.8629200362
75,B5,corning-6-user,0.8629200346
75,B5,corning-7-user,0.8629200349
75,B5,corning-8-user,0.8629200362
70,B1,corning-1-user,0.80617742
70,B1,corning-2-user,0.8571428201
70,B1,corning-3-user,0.714251274
70,B1,corning-4-user,0.8571428177
70,B1,corning-5-user,1
70,B1,corning-6-user,0.8636786241
70,B1,corning-7-user,1
70,B1,corning-8-user,0.997133855
70,B2,corning-1-user,0.7808451983
70,B2,corning-2-user,0.7938250067
70,B2,corning-3-user,0.7188908813
70,B2,corning-4-user,0.7978923867
70,B2,corning-5-user,0.8723867864
70,B2,corning-6-user,0.8089772033
70,B2,corning-7-user,1
70,B2,corning-8-user,1
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.5192116837
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.9049822585
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.8621199764
70,B5,corning-1-user,0.8551038302
70,B5,corning-2-user,0.8551038278
70,B5,corning-3-user,0.8551038299
70,B5,corning-4-user,0.8551038317
70,B5,corning-5-user,0.8551038297
70,B5,corning-6-user,0.8551038328
70,B5,corning-7-user,0.8551038297
70,B5,corning-8-user,0.8551038295
65,B1,corning-1-user,0.7822769927
65,B1,corning-2-user,0.6784060478
65,B1,corning-3-user,0.8328067013
65,B1,corning-4-user,0.7975912308
65,B1,corning-5-user,0.8571428201
65,B1,corning-6-user,0.8683372602
65,B1,corning-7-user,0.8683883683
65,B1,corning-8-user,0.9928395132
65,B2,corning-1-user,0.7405007779
65,B2,corning-2-user,0.5910159362
65,B2,corning-3-user,0.7951412631
65,B2,corning-4-user,0.7479696662
65,B2,corning-5-user,0.9260653342
65,B2,corning-6-user,0.9628090581
65,B2,corning-7-user,1
65,B2,corning-8-user,1
65,B3,corning-1-user,1
65,B3,corning-2-user,1
65,B3,corning-3-user,0.5192116837
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.795078689
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391538892
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391401392
65,B5,corning-1-user,0.8220457838
65,B5,corning-2-user,0.8220457926
65,B5,corning-3-user,0.8220457875
65,B5,corning-4-user,0.8220457782
65,B5,corning-5-user,0.8220457942
65,B5,corning-6-user,0.8220457904
65,B5,corning-7-user,0.8220457802
65,B5,corning-8-user,0.8220457769
60,B1,corning-1-user,0.7806415698
60,B1,corning-2-user,0.6826483579
60,B1,corning-3-user,0.7452192042
60,B1,corning-4-user,0.8737765273
60,B1,corning-5-user,0.8714314858
60,B1,corning-6-user,0.8714314858
60,B1,corning-7-user,0.8384600167
60,B1,corning-8-user,0.9870036056
60,B2,corning-1-user,0.7111056456
60,B2,corning-2-user,0.6639934073
60,B2,corning-3-user,0.6892910892
60,B2,corning-4-user,0.7327001731
60,B2,corning-5-user,0.796599205
60,B2,corning-6-user,0.8737765273
60,B2,corning-7-user,0.9434374859
60,B2,corning-8-user,1
60,B3,corning-1-user,1
60,B3,corning-2-user,1
60,B3,corning-3-user,0.5192116837
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.6851751195
60,B4,corning-1-user,0.8161603019
60,B4,corning-2-user,0.8161603019
60,B4,corning-3-user,0.8161603019
60,B4,corning-4-user,0.8161603019
60,B4,corning-5-user,0.8161603019
60,B4,corning-6-user,0.8161740519
60,B4,corning-7-user,0.8161603019
60,B4,corning-8-user,0.8161603019
60,B5,corning-1-user,0.8151142009
60,B5,corning-2-user,0.8151142013
60,B5,corning-3-user,0.8151142008
60,B5,corning-4-user,0.8151142005
60,B5,corning-5-user,0.8151142005
60,B5,corning-6-user,0.8151142012
60,B5,corning-7-user,0.8151142008
60,B5,corning-8-user,0.8151142013
55,B1,corning-1-user,0.6777708399
55,B1,corning-2-user,0.6275337562
55,B1,corning-3-user,0.7286940791
55,B1,corning-4-user,0.9285713915
55,B1,corning-5-user,0.8757015578
55,B1,corning-6-user,0.9396287609
55,B1,corning-7-user,0.9285713915
55,B1,corning-8-user,0.9368019254
55,B2,corning-1-user,0.7185527463
55,B2,corning-2-user,0.6696906662
55,B2,corning-3-user,0.6390728696
55,B2,corning-4-user,1
55,B2,corning-5-user,0.6882388804
55,B2,corning-6-user,0.8629988472
55,B2,corning-7-user,1
55,B2,corning-8-user,0.9579488403
55,B3,corning-1-user,1
55,B3,corning-2-user,0.9953070438
55,B3,corning-3-user,0.519728129
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.5783380365
55,B4,corning-1-user,0.7931804646
55,B4,corning-2-user,0.7931804646
55,B4,corning-3-user,0.7931804646
55,B4,corning-4-user,0.7931804646
55,B4,corning-5-user,0.7931804646
55,B4,corning-6-user,0.7931804646
55,B4,corning-7-user,0.7931804646
55,B4,corning-8-user,0.7931804646
55,B5,corning-1-user,0.7885952555
55,B5,corning-2-user,0.7885952451
55,B5,corning-3-user,0.7885952431
55,B5,corning-4-user,0.7885952437
55,B5,corning-5-user,0.7885952443
55,B5,corning-6-user,0.7885952512
55,B5,corning-7-user,0.7885952375
55,B5,corning-8-user,0.7885952412
50,B1,corning-1-user,0.6078826357
50,B1,corning-2-user,0.5994098721
50,B1,corning-3-user,0.6969094958
50,B1,corning-4-user,0.732114087
50,B1,corning-5-user,0.7273684255
50,B1,corning-6-user,0.9055939642
50,B1,corning-7-user,0.9506806189
