percent,code,feasible,worst,total,spread,programmes,seconds
100,B1,1,1,8,0,1,0.784
100,B2,1,1,8,0,2,0.642
100,B3,1,1,8,2.482534153e-16,1,0.847
100,B4,1,1,8,0,10,8.105
100,B5,1,1,8,0,1,0.638
95,B1,1,0.9285714421,7.807619314,0.02088282818,1,0.595
95,B2,1,0.912231711,7.696177982,0.02774449911,2,0.668
95,B3,1,0.9063784408,7.906378441,0.03096242038,1,1.053
95,B4,1,0.9770191627,7.816153302,8.777083671e-17,10,14.707
95,B5,1,0.9410176329,7.528141138,6.365630785e-09,8,5.862
90,B1,1,0.8722305473,7.650891593,0.05098296636,1,0.619
90,B2,1,0.8571428704,7.577139147,0.05310314108,2,0.616
90,B3,1,0.8127568816,7.812756882,0.06192484076,1,0.916
90,B4,1,0.9540393255,7.632314604,1.410900844e-15,10,13.166
90,B5,1,0.909685742,7.277487193,1.9234065e-07,5,4.041
85,B1,1,0.7967376621,7.456011543,0.06352561268,1,0.622
85,B2,1,0.7566368291,7.333837082,0.07375872721,2,0.606
85,B3,1,0.7191353224,7.719135322,0.09288726114,1,1.057
85,B4,1,0.9310594882,7.448475906,1.792760969e-15,10,14.105
85,B5,1,0.8757598037,7.006078434,3.502136655e-10,8,5.764
80,B1,1,0.7965719684,7.157525676,0.05601744281,1,0.714
80,B2,1,0.7970617035,7.116180194,0.06166510414,2,0.63
80,B3,1,0.6255137631,7.625513763,0.1238496815,1,0.944
80,B4,1,0.908079651,7.264637208,1.983232505e-14,10,14.101
80,B5,1,0.8630209991,6.904167994,9.805867032e-11,8,5.926
75,B1,1,0.796599205,7.038017939,0.06422094891,1,0.657
75,B2,1,0.7965719632,6.970994523,0.07806397533,2,0.642
75,B3,1,0.5318922039,7.531892204,0.1548121019,1,1.01
75,B4,1,0.8850998137,7.08079851,1.576458055e-15,10,13.983
75,B5,1,0.862920033,6.903360288,1.675325166e-09,8,5.903
70,B1,1,0.714251274,7.095526811,0.09770404221,1,1.13
70,B2,1,0.7188908813,6.772817463,0.09678229281,2,0.725
70,B3,1,0.5192116837,7.424193942,0.1576157112,1,1.159
70,B4,1,0.8621199764,6.896959811,1.094147181e-15,10,13.81
70,B5,1,0.8551038278,6.840830641,1.401724296e-09,7,5.093
65,B1,1,0.6784060478,6.677788934,0.08391570868,1,1.918
65,B2,1,0.5910159362,6.763502036,0.1395653077,2,0.648
65,B3,1,0.5192116837,7.314290373,0.1636976776,1,0.906
65,B4,1,0.8391401392,6.713134863,4.547385065e-06,10,13.741
65,B5,1,0.8220457769,6.576366284,6.233002042e-09,8,5.747
60,B1,1,0.6826483579,6.650612253,0.08760257657,1,1.148
60,B2,1,0.6639934073,6.410903533,0.1168330657,2,0.648
60,B3,1,0.5192116837,7.204386803,0.1771817801,1,0.869
60,B4,1,0.8161603019,6.529296165,4.547385066e-06,10,14.479
60,B5,1,0.8151142005,6.520913607,3.073542738e-10,8,5.536
55,B1,1,0.6275337562,6.643273702,0.122154735,1,0.731
55,B2,1,0.6390728696,6.53650285,0.1451679326,2,0.717
55,B3,1,0.519728129,7.093373209,0.1954914922,1,0.76
55,B4,1,0.7931804646,6.345443717,1.450870781e-14,10,13.66
55,B5,1,0.7885952375,6.308761962,5.307838684e-09,8,5.679
50,B1,1,0.5994098721,6.144473705,0.1317449649,1,1.089
50,B2,1,0.5923102676,6.209439696,0.1490694186,2,0.805
50,B3,1,0.5259013504,6.878013763,0.1902351079,1,0.853
50,B4,1,0.7304335597,6.179253378,0.0873721591,10,14.547
50,B5,1,0.7215159913,6.116187437,0.02888306921,35,23.928
45,B1,0,,,,,
45,B2,0,,,,,
45,B3,0,,,,,
45,B4,0,,,,,
45,B5,0,,,,,
40,B1,0,,,,,
40,B2,0,,,,,
40,B3,0,,,,,
40,B4,0,,,,,
40,B5,0,,,,,
35,B1,0,,,,,
35,B2,0,,,,,
35,B3,0,,,,,
35,B4,0,,,,,
35,B5,0,,,,,
30,B1,0,,,,,
30,B2,0,,,,,
30,B3,0,,,,,
30,B4,0,,,,,
30,B5,0,,,,,
