percent,fulfilled,short,worst_user,worst_ratio,impossible,binding,digest
100,1,0,corning-2-user,1,,,82db3865abe783445ad50df85cd02ab8e208b9ac1cc40b33e48a99cb76245fb2
95,0,8,,,,C8 source availability,a349c4bcb8fd34737227c823d4e3ad59a4e02d3426d434af15eee640a0a1796e
90,0,8,,,,C8 source availability,54e68ae57891e204e8a370cae0bbd48c4fc11b029edab23092d05bc8a1de2200
85,0,8,,,,C8 source availability,03fa92d2cb8400eefcef83bdfab74a941da5d94c2346f649352475afe7cf1d97
80,0,8,,,,C8 source availability,38e5de9d80b4956e0105d4caeb1ba642918f0ddd51a0237190d0be65b5866fda
75,0,8,,,,C8 source availability,e28c5891f97e73541fbf4524b288056f407b0f11fdc07205384fdbde8db60521
70,0,8,,,,C8 source availability,69bc7bab2e6f7a434c02d0fd2c2dcd253218b91278e36bc4aaa3179dc98e566f
65,0,8,,,,C8 source availability,990390982300a3851314bf45f637a07ad35c39b8d9f7a92cf896220c4d2c2f58
60,0,8,,,,C8 source availability,97fdbf92923da8c7333d34f16a4a2cdade4177407cb3945e3fad76fd0b583e7b
55,0,8,,,,C8 source availability,4db8e44f9521432f652d7b2687ca2e8feaeee55bccd36477916bbac64170b937
50,0,8,,,,C8 source availability,3638b86c1386edaf5b8be2d7d5a9b4732b27237cf6e072e94b75b6bdf67633c1
45,0,8,,,,C8 source availability,b5d96ac289a13feb66e6a75884c1bc4560a3eab62718c59c1a0c832d5657b1f4
40,0,8,,,,C8 source availability,e596390803b0a916ddf7cfb21d8b373f0e2ea79aa1af894fc22c0ef0ef1fcf52
35,0,8,,,,C2 delivered flow non-negative C8 source availability,63bb54d740a04eedd00e33ee0435efeae57ddff30f1e0c33d3325f1a481aa022
30,0,8,,,,C2 delivered flow non-negative C8 source availability,67a648ab1796c9e8124ccd531163d8f15c75dd599fc231caf00c15eb568670e7
