percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.903
100,B2,solved,1,8,0,2,0.917
100,B3,solved,1,8,1.359739956e-16,1,0.702
100,B4,solved,1,8,0,10,8.453
100,B5,solved,1,8,0,1,0.811
95,B1,infeasible,,,,,
95,B2,infeasible,,,,,
95,B3,infeasible,,,,,
95,B4,infeasible,,,,,
95,B5,infeasible,,,,,
90,B1,infeasible,,,,,
90,B2,infeasible,,,,,
90,B3,infeasible,,,,,
90,B4,infeasible,,,,,
90,B5,infeasible,,,,,
85,B1,infeasible,,,,,
85,B2,infeasible,,,,,
85,B3,infeasible,,,,,
85,B4,infeasible,,,,,
85,B5,infeasible,,,,,
80,B1,infeasible,,,,,
80,B2,infeasible,,,,,
80,B3,infeasible,,,,,
80,B4,infeasible,,,,,
80,B5,infeasible,,,,,
75,B1,infeasible,,,,,
75,B2,infeasible,,,,,
75,B3,infeasible,,,,,
75,B4,infeasible,,,,,
75,B5,infeasible,,,,,
70,B1,infeasible,,,,,
70,B2,infeasible,,,,,
70,B3,infeasible,,,,,
70,B4,infeasible,,,,,
70,B5,infeasible,,,,,
65,B1,infeasible,,,,,
65,B2,infeasible,,,,,
65,B3,infeasible,,,,,
65,B4,infeasible,,,,,
65,B5,infeasible,,,,,
60,B1,infeasible,,,,,
60,B2,infeasible,,,,,
60,B3,infeasible,,,,,
60,B4,infeasible,,,,,
60,B5,infeasible,,,,,
55,B1,infeasible,,,,,
55,B2,infeasible,,,,,
55,B3,infeasible,,,,,
55,B4,infeasible,,,,,
55,B5,infeasible,,,,,
50,B1,infeasible,,,,,
50,B2,infeasible,,,,,
50,B3,infeasible,,,,,
50,B4,infeasible,,,,,
50,B5,infeasible,,,,,
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
