percent,code,user,ratio
95,B1,corning-1-user,0.9707267997
95,B1,corning-2-user,0.996955461
95,B1,corning-3-user,0.9683853788
95,B1,corning-4-user,0.8959123598
95,B1,corning-5-user,1
95,B1,corning-6-user,1
95,B1,corning-7-user,0.9325434752
95,B1,corning-8-user,1
95,B2,corning-1-user,0.9395743931
95,B2,corning-2-user,0.9969554594
95,B2,corning-3-user,0.9683853867
95,B2,corning-4-user,0.9285713915
95,B2,corning-5-user,1
95,B2,corning-6-user,0.9944515654
95,B2,corning-7-user,0.9126743811
95,B2,corning-8-user,1
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9204597138
95,B5,corning-2-user,0.9204597151
95,B5,corning-3-user,0.9204597129
95,B5,corning-4-user,0.9204597161
95,B5,corning-5-user,0.9204597148
95,B5,corning-6-user,0.9204597144
95,B5,corning-7-user,0.9204597155
95,B5,corning-8-user,0.920459715
